wavelength,flux,flux_error
336.0,2.7838326281296437,2.454422861998444e-18
338.0,2.7222765203405155,1.77525626280653e-18
340.0,1.4463637056542065,1.4423022008574944e-18
342.0,1.020210321974579,1.2312408303211084e-18
344.0,1.5522383063864744,1.1493060652364076e-18
346.0,2.001205676197031,1.1259181952975653e-18
348.0,1.9084443170191876,1.1794408692440842e-18
350.0,1.6902612633128427,1.239532321662896e-18
352.0,1.7308353430010117,1.3413558641888312e-18
354.0,1.780352309197432,1.41969162010993e-18
356.0,1.5531198165364675,1.3546254541963646e-18
358.0,1.4042815522651615,1.1882435082800348e-18
360.0,1.5677130150950587,1.0984517173455362e-18
362.0,1.7243127185524727,1.0585229554833066e-18
364.0,1.6612979113649537,1.0728336068659538e-18
366.0,1.446339812826983,1.1123287458669475e-18
368.0,1.2976001638794057,1.1640497979143384e-18
370.0,1.4207649471998143,1.2423389363697875e-18
372.0,1.8331207356086257,1.2899623481703618e-18
374.0,2.3810729292716655,1.3755968823160596e-18
376.0,2.771498650782081,1.4489869853680706e-18
378.0,2.7494391327030336,1.512418174686407e-18
380.0,2.462437558967153,1.6084901260332048e-18
382.0,2.236357411986407,1.5619734882491265e-18
384.0,2.462790187696392,1.5268334361334396e-18
386.0,3.070818963212829,1.458056428303703e-18
388.0,3.739674437816312,1.2654017879322475e-18
390.0,4.086927931532438,1.159703356196848e-18
392.0,4.062926312632422,1.044829392518358e-18
394.0,3.7352514789636655,9.091754629121105e-19
396.0,3.418218848352568,8.643475449531839e-19
398.0,3.3889158374217963,8.01106036981543e-19
400.0,3.6960486807874253,7.297599114429787e-19
402.0,4.189761329450532,7.249124628413142e-19
404.0,4.551927577205628,7.003781468115068e-19
406.0,4.53574822906525,6.602757231256894e-19
408.0,4.173891472757629,6.604446675754491e-19
410.0,3.7365672588217524,6.507767943534144e-19
412.0,3.5110683761698698,6.183957731897465e-19
414.0,3.668767214943771,6.145545256423325e-19
416.0,4.100234169653739,6.210265515604799e-19
418.0,4.527046856950081,6.104470536959109e-19
420.0,4.6744054901475645,6.00252887382351e-19
422.0,4.469986886959318,5.968399285077882e-19
424.0,4.0475820647891,5.921073516279897e-19
426.0,3.6257876447148174,5.86188437103698e-19
428.0,3.3774019992621302,5.72555591587735e-19
430.0,3.354999119131059,5.577269961777969e-19
432.0,3.4612712440692484,5.587381366802649e-19
434.0,3.5570548390212484,5.620277512922841e-19
436.0,3.5752904516279327,5.418229450058123e-19
438.0,3.541384302913241,5.171645173945996e-19
440.0,3.513071793754784,5.221492006613412e-19
442.0,3.558903523495553,5.358348336021359e-19
444.0,3.6931338640956946,5.173481815306564e-19
446.0,3.8681736566195104,4.832490611215294e-19
448.0,3.9938532746377455,4.813263159790673e-19
450.0,3.991324837275066,5.014974478188523e-19
452.0,3.8532861468823336,4.941919330222369e-19
454.0,3.6349063231573657,4.554237008658589e-19
456.0,3.4187877291722577,4.322567032367226e-19
458.0,3.291782349620125,4.480874749260408e-19
460.0,3.2903954046390873,4.607480333948019e-19
462.0,3.404618367105953,4.383461714306472e-19
464.0,3.5730002551122584,4.002890632293935e-19
466.0,3.7060208904870184,3.8887703223406883e-19
468.0,3.749561809239092,4.0664660409984304e-19
470.0,3.671926984498505,4.1324864019782133e-19
472.0,3.5017796688890317,3.9088045219196235e-19
474.0,3.2838286615703622,3.5882259573043257e-19
476.0,3.068322729197404,3.482081888873574e-19
478.0,2.904824186601737,3.598704245653412e-19
480.0,2.8264836174147376,3.6724718477286614e-19
482.0,2.8211596613997587,3.5343017245633364e-19
484.0,2.8729335325056553,3.2863764244747175e-19
486.0,2.9349067637257606,3.1296284447977403e-19
488.0,2.9800088347688605,3.158053101468691e-19
490.0,2.990836477869562,3.2369834854046387e-19
492.0,2.969799992864482,3.213204420197958e-19
494.0,2.922339038052161,3.059118888158172e-19
496.0,2.8644972015303702,2.874706392474738e-19
498.0,2.8164483780591834,2.7792201021446993e-19
500.0,2.7901843514604048,2.788885676630163e-19
502.0,2.781342078322904,2.8151222180583964e-19
504.0,2.800264868675733,2.798671407505765e-19
506.0,2.8292119425098075,2.7226042659529818e-19
508.0,2.8582525327172585,2.630610669010069e-19
510.0,2.877048871979395,2.5688553398017844e-19
512.0,2.8747011039011596,2.5443198979479304e-19
514.0,2.8532377176506274,2.535839536394615e-19
516.0,2.817791397514057,2.5164140455500613e-19
518.0,2.774261282154845,2.475488502341975e-19
520.0,2.724021324680911,2.4159562026572037e-19
522.0,2.6817555186745623,2.3592398620500486e-19
524.0,2.6488471213353213,2.3118066792930037e-19
526.0,2.6234844642501307,2.272871873573804e-19
528.0,2.6090344196917483,2.2454760249371267e-19
530.0,2.6026690798349557,2.2287014455217617e-19
532.0,2.5937783186570003,2.214017691150937e-19
534.0,2.583036876333426,2.198899749775095e-19
536.0,2.571684434059841,2.178494807454383e-19
538.0,2.5529333231911533,2.1428722528519543e-19
540.0,2.5255072288765605,2.0928036205019004e-19
542.0,2.4966123819540167,2.042412316697021e-19
544.0,2.469172923086864,2.0038073694225224e-19
546.0,2.4369008359548068,1.9764118367287996e-19
548.0,2.4085837562366,1.9625163018700354e-19
550.0,2.3852319169486726,1.951303895914366e-19
552.0,2.3680542295896068,1.93245598863458e-19
554.0,2.3477155029850496,1.8939620916656017e-19
556.0,2.3337808505517295,1.8485011558431066e-19
558.0,2.3192655072324264,1.8021939573251598e-19
560.0,2.3006529448704556,1.7651190603523563e-19
562.0,2.278399225650287,1.744845152279977e-19
564.0,2.252533379726053,1.7393767431396323e-19
566.0,2.2239823883821854,1.7399413277001128e-19
568.0,2.1915215779862196,1.733940243765444e-19
570.0,2.161876382208532,1.7182928489806275e-19
572.0,2.1350947183983373,1.6907767824244944e-19
574.0,2.1032841985346558,1.6489316585210224e-19
576.0,2.071864794117479,1.6043835241290944e-19
578.0,2.0380395232819626,1.561564662953225e-19
580.0,2.0093910802278176,1.5283674914009357e-19
582.0,1.9827880870938301,1.498999893353575e-19
584.0,1.9579214284349264,1.4668780651457124e-19
586.0,1.946129752336868,1.4348870264579772e-19
588.0,1.9420199319251512,1.3967360177056523e-19
590.0,1.9485985427666728,1.3564945777877697e-19
592.0,1.969013850093687,1.3213134934128034e-19
594.0,1.986961002867219,1.2869517139986048e-19
596.0,2.006398985580127,1.2626658598362454e-19
598.0,2.031544256064483,1.2548027225461568e-19
600.0,2.054289559000143,1.258306354030131e-19
602.0,2.0709090480860484,1.2675841038568373e-19
