wavelength,flux,flux_error
336.0,3.7270221888157735,3.0099897401625484e-18
338.0,3.4120814182715713,2.199291643489682e-18
340.0,3.4663405973275028,1.7816963265713806e-18
342.0,3.5542058521479536,1.5338357947814501e-18
344.0,3.5169412110791134,1.4552754614256956e-18
346.0,3.7867389966890768,1.4369812500712685e-18
348.0,3.830658729452978,1.5091583410581342e-18
350.0,3.3449623083596736,1.6154278494975937e-18
352.0,2.8665011666556106,1.7821018369533283e-18
354.0,3.399121505879745,1.9211240575497623e-18
356.0,4.081162986675438,1.8501191191053004e-18
358.0,3.738066674613329,1.6920058360499101e-18
360.0,2.777074785555994,1.5223095271628702e-18
362.0,3.084772841169047,1.5652019839753387e-18
364.0,4.117144172876014,1.4843438774001043e-18
366.0,5.39532769718694,1.6429449015396e-18
368.0,4.3752391213435295,1.6566028818947532e-18
370.0,2.6807434529408067,1.775719089215075e-18
372.0,2.0822576679370584,1.8912767868526736e-18
374.0,3.586297457557305,1.8986584345529774e-18
376.0,5.8130777521438555,2.1302235906015525e-18
378.0,5.475040950165021,2.087440580285731e-18
380.0,3.9648594015533973,2.2524814702697557e-18
382.0,2.3227072378440115,2.249286385070478e-18
384.0,2.9338317701104706,2.0651924176658688e-18
386.0,4.9806731434943465,2.0455426035632166e-18
388.0,5.78473405961811,1.756049622706045e-18
390.0,5.435551424133835,1.5745944670236188e-18
392.0,4.494999707074706,1.4417569697437888e-18
394.0,3.5433582141849422,1.2343570347387537e-18
396.0,3.8348076280832553,1.1803940521284803e-18
398.0,4.682892905078247,1.082066274364345e-18
400.0,5.11737077715239,9.731534530410859e-19
402.0,5.42812370867976,9.87818065312771e-19
404.0,5.144205083804426,9.270824538138104e-19
406.0,4.3128155986359555,8.555552091132619e-19
408.0,3.972579433743805,8.827908784300197e-19
410.0,4.0778776790437545,8.432773297818306e-19
412.0,4.375992696213826,7.864548315083101e-19
414.0,4.73447386352782,8.251155857167482e-19
416.0,5.196260051839213,8.219388077856273e-19
418.0,4.9639385849590605,7.516417820940749e-19
420.0,4.419142628575363,7.675391425397593e-19
422.0,4.1833334470430845,8.124058392665215e-19
424.0,4.149489534878275,7.440559017562565e-19
426.0,4.330597237512443,7.068223311152017e-19
428.0,4.530581587557376,7.568150551940098e-19
430.0,4.936444026075282,7.607565336826725e-19
432.0,4.908025486614466,6.743806723556682e-19
434.0,4.208941114094567,6.606383904724928e-19
436.0,3.7371060937314344,7.129548216536454e-19
438.0,3.474648117815365,7.002415751213548e-19
440.0,3.407208797377782,6.166737761018338e-19
442.0,3.58125457339429,6.089217705337223e-19
444.0,3.8732436474887897,6.551323121742483e-19
446.0,4.351679381874052,6.52907064931466e-19
448.0,4.6280784336688505,5.771134944225212e-19
450.0,4.365156057551745,5.533678703835807e-19
452.0,3.9878441942472618,5.853443768460335e-19
454.0,3.81816621839112,6.059303889742071e-19
456.0,3.676937050088692,5.532526640280311e-19
458.0,3.637488582472639,5.030909660056125e-19
460.0,3.6866455049527804,5.099097528535839e-19
462.0,3.850876908647254,5.36616689491392e-19
464.0,4.136165974104906,5.2849796857122e-19
466.0,4.307802192596834,4.751967968907158e-19
468.0,4.197450921223749,4.475475332637013e-19
470.0,3.9084183576163096,4.554623903684429e-19
472.0,3.7100322286873273,4.702645705559847e-19
474.0,3.552547521453814,4.571777687535316e-19
476.0,3.4069352077375097,4.164884293900557e-19
478.0,3.3108313484572487,3.9342728415897354e-19
480.0,3.261285249271359,3.966465250866468e-19
482.0,3.271628579440418,4.058601840809056e-19
484.0,3.371890541698304,4.0162930796097224e-19
486.0,3.465819385903858,3.751823923576933e-19
488.0,3.4710547628183974,3.5170418210042015e-19
490.0,3.381510668293929,3.464674324368489e-19
492.0,3.3090048863506527,3.515678000521871e-19
494.0,3.311166499189119,3.546769393000079e-19
496.0,3.3379124492512613,3.4421119837164833e-19
498.0,3.356362452631386,3.2541878514939646e-19
500.0,3.3544361917211254,3.125796637585125e-19
502.0,3.3227740758243622,3.091687734632969e-19
504.0,3.302332361242589,3.123475478268418e-19
506.0,3.291967813850866,3.13768044497625e-19
508.0,3.2685439888783634,3.0698615206693313e-19
510.0,3.2131669372278737,2.9429751083014273e-19
512.0,3.124993260912284,2.8268253375788618e-19
514.0,3.032503044881161,2.768987436006432e-19
516.0,2.9711982176146714,2.7703220260416633e-19
518.0,2.954544697086201,2.7954203197615183e-19
520.0,2.9655143618496935,2.7852788865406197e-19
