wavelength,flux,flux_error
336.0,0.8912671892720195,8.418271779285141e-19
338.0,0.6962112791069861,6.088722197003536e-19
340.0,0.8235230053079687,4.985016974965758e-19
342.0,1.0116518809708286,4.2429151379987487e-19
344.0,0.9979158148424766,3.9669062953341836e-19
346.0,0.8381514611230114,3.9036103427985297e-19
348.0,0.7740745435626888,4.06076129944273e-19
350.0,0.8502745230114545,4.268574994219497e-19
352.0,0.8740701099184167,4.716308496385136e-19
354.0,0.7419915367486752,4.98677844031451e-19
356.0,0.6939389523791154,4.742418181384028e-19
358.0,0.8509549717406337,4.248861358617852e-19
360.0,1.000834550683129,3.9013818016653326e-19
362.0,0.9320719312294486,3.8331684129461745e-19
364.0,0.7851252121073937,3.7905233250140892e-19
366.0,0.7841129764457467,3.9974429315126794e-19
368.0,1.0110008765098466,4.142830434822491e-19
370.0,1.2195859267671805,4.376410173456503e-19
372.0,1.1558129733426512,4.590805221230131e-19
374.0,0.9649730046509183,4.745539603151948e-19
376.0,0.8636726264655277,5.096798965201984e-19
378.0,0.9949998513184385,5.184245053431032e-19
380.0,1.1583705059919376,5.44664283529863e-19
382.0,1.066457120755587,5.397370029862089e-19
384.0,0.854445528537594,5.057850354139569e-19
386.0,0.7166134132554396,4.829261008531455e-19
388.0,0.7834157759580261,4.199677560594091e-19
390.0,0.9001875158510216,3.75142086744336e-19
392.0,0.9253269243706629,3.416103104452466e-19
394.0,0.8700942207627607,2.94808637105469e-19
396.0,0.8805498311186934,2.7575982539369377e-19
398.0,1.029098019508541,2.5855228772013233e-19
400.0,1.2584557641457275,2.33877916004856e-19
402.0,1.4943724339642155,2.293512248076308e-19
404.0,1.553989008879023,2.227451649907159e-19
406.0,1.4828974771980938,2.0831394636587994e-19
408.0,1.3492502196312344,2.065052982522274e-19
410.0,1.3183333809743891,2.041377751789817e-19
412.0,1.3950515572362139,1.9569638027321916e-19
414.0,1.531502043010158,1.9516963322287627e-19
416.0,1.6449998534116526,1.9444849268556564e-19
418.0,1.6049005721174565,1.902846642580649e-19
420.0,1.4850267220504092,1.8828456359692122e-19
422.0,1.3211936559586763,1.8855277474324245e-19
424.0,1.2283292836765376,1.8473888336983174e-19
426.0,1.2349633224466736,1.8175669937810259e-19
428.0,1.2955526957789967,1.8237225649882816e-19
430.0,1.3882833789727194,1.7863446792394e-19
432.0,1.4223569572561636,1.7452538300078944e-19
434.0,1.3994067003031787,1.735109253984338e-19
436.0,1.3724064468122126,1.73868782899404e-19
438.0,1.3647312160134981,1.6845013083142471e-19
440.0,1.4161213150289358,1.6447857608485546e-19
442.0,1.5177047378090298,1.6492012439246793e-19
444.0,1.6245180250381932,1.6522235951626627e-19
446.0,1.7111650616626357,1.5963112149342771e-19
448.0,1.7411432200522656,1.5477440746378368e-19
450.0,1.7073724387044222,1.5480787632405264e-19
452.0,1.6555446079337033,1.5539838917585775e-19
454.0,1.61155261908588,1.5144709386667637e-19
456.0,1.5940608847386106,1.4539706735975625e-19
458.0,1.628731970999431,1.4388954988810082e-19
460.0,1.687879756438248,1.4455709996005984e-19
462.0,1.7422006611967218,1.427839611953234e-19
464.0,1.7762282588431129,1.3744150166608456e-19
466.0,1.7743597902994566,1.3280924636194854e-19
468.0,1.7369922597475316,1.3208073608821483e-19
470.0,1.6842548746247106,1.3204059221828475e-19
472.0,1.6397711064061298,1.297311833115653e-19
474.0,1.6117255409017364,1.2529211604567837e-19
476.0,1.6071081962149125,1.2150389149614401e-19
478.0,1.629646394461644,1.1988684668098583e-19
480.0,1.6633139223254647,1.1929585840197834e-19
482.0,1.6853952163063175,1.1748198586801003e-19
484.0,1.6942339007089784,1.145657571738075e-19
486.0,1.6803462546127568,1.1138743576208755e-19
488.0,1.648606694546099,1.093192659236833e-19
490.0,1.6125493113385136,1.0824235181937767e-19
492.0,1.5869124337191627,1.0733054368230849e-19
494.0,1.5729381172940486,1.0574901815059103e-19
496.0,1.5725625755252133,1.0362600504773946e-19
498.0,1.59019391723115,1.0152023428846862e-19
500.0,1.6203523818869179,9.980558514344302e-20
502.0,1.6431676401308741,9.83536221623801e-20
504.0,1.6556631538576803,9.752207530636234e-20
506.0,1.6500977389433977,9.670912540188705e-20
508.0,1.628513479215989,9.565046285714408e-20
510.0,1.5935053561708803,9.410657058377553e-20
512.0,1.5495768425995262,9.215273859289058e-20
514.0,1.5094983275768825,9.049598564619645e-20
516.0,1.4829173789073395,8.957081691725543e-20
518.0,1.4727192933131186,8.926058148595991e-20
520.0,1.475646617952536,8.890628164717192e-20
522.0,1.495376252060116,8.81428073007206e-20
524.0,1.5279106497074968,8.658896026869122e-20
526.0,1.5652125127465162,8.456059673355119e-20
528.0,1.6014854841885553,8.29848839562652e-20
530.0,1.6297384521119247,8.234491316963025e-20
532.0,1.6423481209340693,8.231603880280843e-20
534.0,1.6420390826703632,8.245116144061022e-20
536.0,1.632996338719434,8.213141114529637e-20
538.0,1.6143944197221682,8.07889099403374e-20
540.0,1.5890359061550647,7.864462585932629e-20
542.0,1.5649115440722963,7.659386594306817e-20
544.0,1.5464997428704053,7.529745212726341e-20
546.0,1.5310968494400297,7.467502561006825e-20
548.0,1.5239408148040625,7.461866417393016e-20
550.0,1.5245305605339121,7.451517653959693e-20
552.0,1.5322811400365688,7.385415888351576e-20
554.0,1.5398106367640976,7.22314633545236e-20
556.0,1.5521835073869754,7.032821456682975e-20
558.0,1.56393173375905,6.857309560798215e-20
560.0,1.5719572247715512,6.740301466035702e-20
562.0,1.5760467935652,6.700724740099616e-20
564.0,1.5760601142989952,6.716690867363009e-20
566.0,1.57286246879006,6.743354972378001e-20
568.0,1.5659674740513478,6.726159478229925e-20
570.0,1.5604662533325118,6.655078449805516e-20
572.0,1.556508505940389,6.531393362590159e-20
574.0,1.5481396294148606,6.359141081002861e-20
576.0,1.5388271206958841,6.192674043875992e-20
578.0,1.5257636922421876,6.048655324379022e-20
580.0,1.5137185390509353,5.949231407622612e-20
582.0,1.4995536909902678,5.86249560067997e-20
584.0,1.482577990652505,5.756059956383228e-20
586.0,1.4714122039538453,5.637875847099414e-20
588.0,1.4624433594280328,5.483148620609717e-20
590.0,1.458696960452217,5.3108567502102646e-20
592.0,1.4633884034885662,5.1542304144939604e-20
594.0,1.4653259066404885,5.002721257362176e-20
596.0,1.4684820724401688,4.897188124344283e-20
598.0,1.4768629710202834,4.864242410199051e-20
600.0,1.4854287019975374,4.8839080295548255e-20
602.0,1.4923598145529835,4.9329067496649936e-20
604.0,1.4932919363976636,4.9713745056018586e-20
606.0,1.4901016620655196,4.980187316829012e-20
608.0,1.481388110454135,4.937216938112245e-20
610.0,1.4696450649668935,4.8453435759867987e-20
612.0,1.4563624794323395,4.716140432520927e-20
614.0,1.4418686614225549,4.565996679488033e-20
616.0,1.4270614684515297,4.415944327518027e-20
618.0,1.4152409288415884,4.290763908942464e-20
620.0,1.4006472850679395,4.1796342529505677e-20
622.0,1.3921208534642158,4.1068432009745494e-20
624.0,1.3942500266600508,4.076694790109174e-20
626.0,1.397614670300433,4.050385581810931e-20
628.0,1.4042689004746152,4.02468307458637e-20
630.0,1.413148564246503,3.991574769231478e-20
632.0,1.4198981501085368,3.939439486218902e-20
634.0,1.4279903924349306,3.8841078700554594e-20
636.0,1.4298258110310365,3.5816047028571637e-20
638.0,1.4357147687269798,4.370044678614824e-20
640.0,1.4323980816993775,6.224501263269067e-20
642.0,1.406970051045917,9.150762001583917e-20
644.0,1.3298967758358498,1.0950635626296573e-19
646.0,1.2713523665157394,1.0671643608518175e-19
648.0,1.2618704883869132,1.0463141560217331e-19
650.0,1.2945298960460114,1.0657585357316086e-19
652.0,1.330008446282094,1.049172356250725e-19
654.0,1.338348149733487,1.0116172246502291e-19
656.0,1.31073357527779,1.0224164499617393e-19
658.0,1.2663675243117698,1.0308026049196913e-19
660.0,1.2387119006146,9.89754971822737e-20
662.0,1.2388102865769333,9.677822212667283e-20
664.0,1.2633950499544169,9.862906707308198e-20
666.0,1.2971214143244987,9.657885515694267e-20
668.0,1.3224474263269734,9.215945567483258e-20
670.0,1.3314989806470792,9.287130179052102e-20
672.0,1.322245023577067,9.417033027189627e-20
674.0,1.3056699042834254,9.008762388776592e-20
676.0,1.2962928529633997,8.728896919505928e-20
678.0,1.2879531334714607,8.978251237163938e-20
680.0,1.285406237597231,8.950619941206812e-20
682.0,1.284053473429344,8.493632042090341e-20
684.0,1.2776653910472477,8.432815997693326e-20
686.0,1.269374439792698,8.739472066661832e-20
688.0,1.2619651502563127,8.508668693365e-20
690.0,1.255394354284293,8.036972033149215e-20
692.0,1.2467487822192218,8.130585778906022e-20
694.0,1.2377923515941505,8.406985329866365e-20
696.0,1.2222173931172926,8.029361988431079e-20
698.0,1.2070151719898519,7.624365012162837e-20
700.0,1.1945942989080816,7.855512839381924e-20
702.0,1.1894853446691191,8.104550060846568e-20
704.0,1.1942545634749986,7.652174321832609e-20
706.0,1.2095710637168877,7.296339058539908e-20
708.0,1.22290384747877,7.585841872111503e-20
710.0,1.22403876967803,7.803812766738667e-20
712.0,1.2123414659332326,7.361209654024126e-20
714.0,1.1883820391586408,7.048199689788331e-20
716.0,1.1644867774253562,7.334658226818748e-20
718.0,1.147465371220089,7.568855756163304e-20
720.0,1.1394096306934853,7.157182474159673e-20
722.0,1.1497817090445042,6.838624636461162e-20
724.0,1.1609878784220953,7.063480993346359e-20
726.0,1.1643597219546502,7.296095056359387e-20
728.0,1.1643128298745793,7.005826020174234e-20
730.0,1.1542797607817898,6.624905606121872e-20
732.0,1.132014233712457,6.750546761704827e-20
734.0,1.1144637659609304,6.940383972540785e-20
736.0,1.1109885062312317,6.78636129623924e-20
738.0,1.1111378697865244,6.43321065911869e-20
740.0,1.1129961293100332,6.493230589381687e-20
742.0,1.118040944671261,6.67832328118086e-20
744.0,1.1162328864083004,6.619271317632765e-20
746.0,1.1080920009820483,6.359674178884989e-20
748.0,1.099933808393524,6.338565902081931e-20
750.0,1.095314301907758,6.519837650575986e-20
752.0,1.0903915642099977,6.47753562972725e-20
754.0,1.0936129234976235,6.285128444157137e-20
756.0,1.0969817872113323,6.19570434513216e-20
758.0,1.0968765971667775,6.364734824765504e-20
760.0,1.0920697308045106,6.388594134801114e-20
762.0,1.0791329618448167,6.18874362054085e-20
764.0,1.0617644369450583,6.069973512065818e-20
766.0,1.0470348318434102,6.202941963650111e-20
768.0,1.038154337124779,6.338563162285162e-20
770.0,1.0388771998347053,6.190955480888809e-20
772.0,1.0443444526093058,5.971224988392255e-20
774.0,1.0554287783788385,6.019150333282681e-20
776.0,1.066711866306264,6.25900510681164e-20
778.0,1.0708806159417403,6.290073960329697e-20
780.0,1.0648853439946386,6.026683305146243e-20
782.0,1.0476765465358375,5.860327045850953e-20
784.0,1.0295182079164102,6.05438022805616e-20
786.0,1.0105358406624605,6.295874463653601e-20
788.0,0.9946236927154535,6.207019916901205e-20
790.0,0.985902627516827,5.875512842184339e-20
792.0,0.9857214276181165,5.766717873321275e-20
794.0,0.9937874656178978,6.015902917987917e-20
796.0,1.0018424435678595,6.222639479812776e-20
798.0,1.0045682607630244,6.051391919655489e-20
800.0,1.0044115113035041,5.683495263156285e-20
802.0,0.9983691384635961,5.580879537096803e-20
804.0,0.9882337592872837,5.840128994660417e-20
806.0,0.9804797303871866,6.057104474709694e-20
808.0,0.9736546284339161,5.897825607635714e-20
810.0,0.9689197461314195,5.527486811009819e-20
812.0,0.9672940265284414,5.414759984720911e-20
814.0,0.9654711176229989,5.664225314352995e-20
816.0,0.9680469510038296,5.928664594011384e-20
818.0,0.963390720608844,5.822792174339874e-20
820.0,0.9550486873536387,5.467469555595487e-20
822.0,0.9409329252483734,5.277589556062857e-20
824.0,0.9266645974632156,5.502254417377467e-20
826.0,0.916439037444787,5.837324189174374e-20
828.0,0.9096982865707881,5.863870802618924e-20
830.0,0.9077855505000897,5.546464070857044e-20
832.0,0.9122210988749542,5.2517898398767417e-20
834.0,0.9183638505370465,5.335016193167577e-20
836.0,0.9265590131525965,5.68292697297284e-20
838.0,0.9362392110321964,5.888553472169099e-20
840.0,0.9381724168028975,5.707069730330388e-20
842.0,0.9354278624247961,5.3624403902551964e-20
844.0,0.921522391160963,5.22983989159421e-20
846.0,0.9096370760946865,5.515588562673397e-20
848.0,0.8943774266088644,5.857412183689373e-20
850.0,0.8792702340506391,5.9120166163313e-20
852.0,0.8628618039392898,5.6216509473947e-20
854.0,0.8508546282352822,5.3264598451087407e-20
856.0,0.8415941480930267,5.3679031507509563e-20
858.0,0.8369828908745406,5.720288511097935e-20
860.0,0.8332962412457476,5.999361547620152e-20
862.0,0.8300915372905285,5.956762173698595e-20
864.0,0.8285955268085744,5.666836008107893e-20
866.0,0.8275614658132523,5.443182330907486e-20
868.0,0.8326319593903032,5.601180201201918e-20
870.0,0.8285891532992478,5.928091171718532e-20
872.0,0.8323396261401127,6.193551588034622e-20
874.0,0.8334286591407624,6.119210387118955e-20
876.0,0.8381082125479815,5.835389109246006e-20
878.0,0.8442231536360065,5.64223486850845e-20
880.0,0.8543583315058199,5.815475965005353e-20
882.0,0.8574977503243753,6.171973797547762e-20
884.0,0.8582522030773083,6.420235263664427e-20
886.0,0.8554215833246106,6.364773866475937e-20
888.0,0.8511335760060377,6.09480292414501e-20
890.0,0.8453016800376706,5.889802382638824e-20
892.0,0.8353585864616049,5.984137402626349e-20
894.0,0.8244414009698774,6.328302963987606e-20
896.0,0.8187358665858339,6.657881028283754e-20
898.0,0.8115998528172486,6.691538515471566e-20
900.0,0.8087640451493122,6.484271546757751e-20
902.0,0.807849946228252,6.243843423448548e-20
904.0,0.8058053189724542,6.229705851658257e-20
906.0,0.8042918789953645,6.52225858233701e-20
908.0,0.8070780156255154,6.935416622138183e-20
910.0,0.802941230467085,7.112280096980222e-20
912.0,0.7981019092375939,7.013571438409791e-20
914.0,0.7935726443127978,6.775839254673664e-20
916.0,0.7889967255273368,6.660739605405933e-20
918.0,0.7783456009339649,6.807133171641643e-20
920.0,0.7719957015067006,7.212419333325481e-20
922.0,0.7723544787671148,7.62299821200976e-20
924.0,0.7674120096268746,7.70169064388171e-20
926.0,0.7656906357233447,7.52051003491256e-20
928.0,0.7716853756508808,7.327568774967004e-20
930.0,0.7724584752347308,7.294348655990486e-20
932.0,0.770791152342798,7.58789108262346e-20
934.0,0.7699902989861278,8.086599338401787e-20
936.0,0.766550631096813,8.47868435416155e-20
938.0,0.7615635739520566,8.600144418906364e-20
940.0,0.7500166837424946,8.417192241220764e-20
942.0,0.736939232699519,8.194260566124833e-20
944.0,0.7327208253621845,8.307951942596599e-20
946.0,0.719714328122723,8.647678387191138e-20
948.0,0.7130090193911903,9.197932107632498e-20
950.0,0.717976080903426,9.742203323738007e-20
952.0,0.716872934616426,9.847103823209331e-20
954.0,0.7242595136467871,9.722465858446054e-20
956.0,0.7406195415519312,9.602321753008556e-20
958.0,0.7528822010160312,9.649885543398942e-20
960.0,0.7659081826302647,1.0127892202770079e-19
962.0,0.7754147300427088,1.0866786481356392e-19
964.0,0.7819357309269613,1.157731609502437e-19
966.0,0.7741547610908193,1.184980513223511e-19
968.0,0.7657447915129452,1.1845141711983343e-19
970.0,0.7534899442019459,1.1699823912505538e-19
972.0,0.7251784888208652,1.1563790594028104e-19
974.0,0.7054684886591844,1.2106899408511536e-19
976.0,0.6802151168253607,1.3044660766407653e-19
978.0,0.6515775064076543,1.397904114455135e-19
980.0,0.6425991042646728,1.4941845091488496e-19
982.0,0.6277054621982929,1.5093813892100143e-19
984.0,0.6308153555774849,1.5022029146460717e-19
986.0,0.6410407784575458,1.4820371385306673e-19
