wavelength,flux,flux_error
336.0,1.706566939230069,2.5327933326468205e-19
338.0,2.2840022747258257,1.8148054622486575e-19
340.0,2.703905402761161,1.4800502598534929e-19
342.0,2.7430247035493034,1.2522344629439731e-19
344.0,2.5006572571871297,1.1769717960482014e-19
346.0,2.3479120808479412,1.1427741156493612e-19
348.0,2.579343411987649,1.2005550457960333e-19
350.0,2.89185340426747,1.2611950454663075e-19
352.0,2.796586656568737,1.3893865093430816e-19
354.0,2.3053102694710828,1.4611077198431634e-19
356.0,2.0899099116965307,1.397371819247326e-19
358.0,2.4180642762792823,1.2292083240708e-19
360.0,2.829506763583197,1.138598387981864e-19
362.0,2.9042313326604847,1.099592819038182e-19
364.0,2.6941823347088163,1.0976778346348758e-19
366.0,2.5118346707149044,1.1292509854322543e-19
368.0,2.4250530310358314,1.1893381557176202e-19
370.0,2.327773941304847,1.2314970634526308e-19
372.0,2.3171949367038605,1.287537569081777e-19
374.0,2.4582029901825013,1.3342985726260986e-19
376.0,2.778135932084108,1.4019800105082748e-19
378.0,3.045763080825747,1.455548370751376e-19
380.0,2.9643459686881624,1.4845679187306632e-19
382.0,2.769541464919339,1.4852883230483808e-19
384.0,2.5663049707964514,1.3892325341577997e-19
386.0,2.6132714727986674,1.2927083317578568e-19
388.0,2.7981289403316807,1.148530142959349e-19
390.0,2.9119016547971746,9.973004877260031e-20
392.0,2.9655100613269094,8.969684974359968e-20
394.0,2.887966549116443,7.838632161753902e-20
396.0,2.7875041230779294,7.095627214304262e-20
398.0,2.785146523649884,6.621692252549932e-20
400.0,2.821600620813419,6.008988315866201e-20
402.0,2.8692600644894113,5.731134206687663e-20
404.0,2.9887058379486904,5.51615851455571e-20
406.0,3.0009665918319217,5.1541226930946077e-20
408.0,2.933532911108426,5.04556133231985e-20
410.0,2.8484215911213533,4.976475054711059e-20
412.0,2.8057591759773457,4.718712382647721e-20
414.0,2.782424052429922,4.6574252846598526e-20
416.0,2.887813869626481,4.6776811065629416e-20
418.0,3.044054050165325,4.502615342305954e-20
420.0,3.1116215075644775,4.409186758064135e-20
422.0,3.082360167187082,4.464327976294482e-20
424.0,2.9949839372864617,4.347405040246351e-20
426.0,2.8683555172887734,4.183959621239179e-20
428.0,2.7067965830563385,4.1989927554504694e-20
430.0,2.642263584037471,4.181511825936931e-20
432.0,2.657300746094436,4.0003763049559897e-20
434.0,2.705866326919832,3.8925366737099856e-20
436.0,2.7236511325961796,3.934277579695471e-20
438.0,2.7390753801769225,3.8581767937329263e-20
440.0,2.7789244627263163,3.6794747500111833e-20
442.0,2.7890350640239627,3.617555743278003e-20
444.0,2.773762145152566,3.6650389844278023e-20
446.0,2.8193518791110947,3.573782319667994e-20
448.0,2.8655048355688857,3.3951548011344485e-20
450.0,2.8839581655348194,3.332888131967558e-20
452.0,2.8773609867878602,3.3800334911117737e-20
454.0,2.830509441676392,3.3281076931869894e-20
456.0,2.7900497441631043,3.1488376509633487e-20
458.0,2.7722827960087577,3.044144690473158e-20
460.0,2.73188791511409,3.062416765682374e-20
462.0,2.696837971218406,3.0752938642645535e-20
464.0,2.7111993820002964,2.9466113143941513e-20
466.0,2.730809048667713,2.778070105246047e-20
468.0,2.7481711373735145,2.7284500527920984e-20
470.0,2.752897899310096,2.759128945732021e-20
472.0,2.7326598549962706,2.7417802514153256e-20
474.0,2.680462980520554,2.6097817039460588e-20
476.0,2.6218124860701577,2.4627368180082415e-20
478.0,2.565097384104569,2.4135707632982834e-20
480.0,2.5050165541313163,2.442972741042637e-20
482.0,2.4433833897395187,2.4402673510329326e-20
484.0,2.413363470539352,2.3534915521433627e-20
486.0,2.4053040684062448,2.2229829419993155e-20
488.0,2.417353393736234,2.1483617128028595e-20
490.0,2.43759587255765,2.1516899470940053e-20
492.0,2.458074556353388,2.174955448101822e-20
494.0,2.470553371805715,2.1493232570481473e-20
496.0,2.4762515640861933,2.065279610640857e-20
498.0,2.4819862979686294,1.9737175821572098e-20
500.0,2.4844549349371317,1.9278203076700415e-20
502.0,2.4721125595919182,1.9263926589490784e-20
504.0,2.4614288727588067,1.9412738661477795e-20
506.0,2.4487377437332314,1.9269787358387836e-20
508.0,2.436232024668146,1.8738761756510577e-20
510.0,2.4244011168811275,1.8046871870414204e-20
512.0,2.410616452470386,1.7514323882169627e-20
514.0,2.3977469473471302,1.7327039092582136e-20
516.0,2.3860101325529044,1.7381658140673906e-20
518.0,2.37396669886609,1.7421032770250885e-20
520.0,2.356345736710783,1.720926898925984e-20
522.0,2.3409838705702533,1.6774230518379848e-20
524.0,2.3263631589023044,1.6243408003232185e-20
526.0,2.3097843178730506,1.5801846983697176e-20
528.0,2.295170716160385,1.5601841994205413e-20
530.0,2.283241996153642,1.5616507293494043e-20
532.0,2.2687037071833167,1.5653759218179063e-20
534.0,2.255510219837793,1.5570995346730207e-20
536.0,2.246887028140376,1.5308011091319776e-20
538.0,2.2377159797435633,1.4872446650584572e-20
540.0,2.2262808404521945,1.439031893959345e-20
542.0,2.2173167430254836,1.4041674984560657e-20
544.0,2.2116973699934506,1.3903287224296143e-20
546.0,2.201724171971939,1.3883587760153547e-20
548.0,2.192464552092637,1.389446902110658e-20
550.0,2.182320484393284,1.3807517994082184e-20
552.0,2.1714280184008956,1.3568768446196337e-20
554.0,2.1522753458252,1.3161481106053428e-20
556.0,2.1364105643952764,1.2750997786705827e-20
558.0,2.120840712724616,1.242742611045909e-20
560.0,2.1051132888741573,1.2256735122206619e-20
562.0,2.0913578089810563,1.2240384162232966e-20
564.0,2.0804381125374527,1.229948793829323e-20
566.0,2.073269985182974,1.2330832829070176e-20
568.0,2.0679737147302686,1.2243137131655936e-20
570.0,2.0693183658823293,1.2044928560926728e-20
572.0,2.074971485278351,1.1766004795668796e-20
574.0,2.07403190128813,1.1431256661055529e-20
576.0,2.0685073444819744,1.1141808983776127e-20
578.0,2.053232332910238,1.0917266428381279e-20
580.0,2.034389371452462,1.0777036871758476e-20
582.0,2.0080315253898045,1.064086331603882e-20
584.0,1.9737194938154639,1.0437604798271612e-20
586.0,1.9435877596134097,1.0185498124377795e-20
588.0,1.9135992406726134,9.854628877978622e-21
