wavelength,flux,flux_error
336.0,8.696580648791266e-18,1.400445354866796e-19
338.0,8.574272931503898e-18,1.0170030787168326e-19
340.0,8.259910782165182e-18,8.367521632469018e-20
342.0,7.964061426500936e-18,7.152438196817335e-20
344.0,7.886632303841506e-18,6.774716724330848e-20
346.0,7.729245177706892e-18,6.617156297228375e-20
348.0,7.557554482397814e-18,6.962947588240745e-20
350.0,7.297975850448227e-18,7.331254166288202e-20
352.0,7.174635849458587e-18,8.079501047547615e-20
354.0,7.114471351555653e-18,8.522245346180926e-20
356.0,7.006320842101373e-18,8.160332372015119e-20
358.0,6.950118704230435e-18,7.212097111997089e-20
360.0,7.108029840937472e-18,6.678330080143172e-20
362.0,6.9782515280355e-18,6.484675766279564e-20
364.0,6.672848604280462e-18,6.448297115145463e-20
366.0,6.469210242080545e-18,6.693957050345464e-20
368.0,6.597747837290565e-18,6.994062026602442e-20
370.0,6.640461557662606e-18,7.30038133532911e-20
372.0,6.560814274173083e-18,7.627807922178101e-20
374.0,6.380757397694053e-18,7.881328700549967e-20
376.0,6.291778390660239e-18,8.352277194846583e-20
378.0,6.324233098009557e-18,8.610164824202183e-20
380.0,6.191333751864567e-18,8.884799765457343e-20
382.0,6.04825244816911e-18,8.847884593902826e-20
384.0,5.9542516673987036e-18,8.310657273166656e-20
386.0,6.138725433048854e-18,7.817325507946129e-20
388.0,6.2943518620288576e-18,6.894402892676536e-20
390.0,6.061911050043304e-18,6.072815611216565e-20
392.0,5.7382620392297006e-18,5.465097840195455e-20
394.0,5.420075092536058e-18,4.7678881416499496e-20
396.0,5.408192110218816e-18,4.38906620930732e-20
398.0,5.785445310191213e-18,4.0727195769708484e-20
400.0,6.156542433364122e-18,3.7105655267959395e-20
402.0,6.432852487185533e-18,3.596805491571032e-20
404.0,6.426700166045671e-18,3.434517284391209e-20
406.0,6.036939948021333e-18,3.22054433736552e-20
408.0,5.601538447927445e-18,3.1963479075513427e-20
410.0,5.312521918932555e-18,3.1200416622600587e-20
412.0,5.211688878524601e-18,2.962593765150754e-20
414.0,5.467624469524241e-18,2.978630617662488e-20
416.0,6.033049561802363e-18,2.975486565837155e-20
418.0,6.562732001301817e-18,2.848523300688795e-20
420.0,6.948210285134518e-18,2.835473451363907e-20
422.0,7.178986572524258e-18,2.879055119291672e-20
424.0,6.990160961585075e-18,2.772922855431447e-20
426.0,6.407777071287536e-18,2.675953283586742e-20
428.0,5.732386145218394e-18,2.7140657381077914e-20
430.0,5.103651329145608e-18,2.6818979570914338e-20
432.0,4.549557165698595e-18,2.5410164381173752e-20
434.0,4.238996090524e-18,2.4925782820659062e-20
436.0,4.3365542460390655e-18,2.5359761480477754e-20
438.0,4.679684197761515e-18,2.4748687537910423e-20
440.0,5.061972235132955e-18,2.3502843486495763e-20
442.0,5.435774519803095e-18,2.3346988553044875e-20
444.0,5.815210043771307e-18,2.376783120366767e-20
446.0,6.059798107402986e-18,2.3105658295325673e-20
448.0,6.049079904677364e-18,2.1895498998057464e-20
450.0,5.910177619618265e-18,2.1601240688286737e-20
452.0,5.8363802124783965e-18,2.2021762127913147e-20
454.0,5.779736928867177e-18,2.1626620572791516e-20
456.0,5.659639173023923e-18,2.042074549361885e-20
458.0,5.532846270530756e-18,1.9714035041321907e-20
460.0,5.4948962540664615e-18,1.9920952372238724e-20
462.0,5.530441697568948e-18,1.9948771076921663e-20
464.0,5.5353152044399355e-18,1.9079615275702985e-20
466.0,5.431965049397892e-18,1.797197122116448e-20
468.0,5.292890195160836e-18,1.7612828402732923e-20
470.0,5.162143586144467e-18,1.7797542959244816e-20
472.0,5.004252337101536e-18,1.7596166166391897e-20
474.0,4.7567715506649915e-18,1.6725117473560576e-20
476.0,4.42308065872685e-18,1.5782552315641384e-20
478.0,4.088093872452799e-18,1.5419547608082745e-20
480.0,3.8163822230844786e-18,1.554367458835495e-20
482.0,3.5859319883889305e-18,1.5430323976630512e-20
484.0,3.4034980492088126e-18,1.4845772784591066e-20
486.0,3.2712780656364336e-18,1.405614653684011e-20
488.0,3.2271804186964764e-18,1.3595847649831142e-20
490.0,3.2902257971793015e-18,1.3580243399897773e-20
492.0,3.4377980629756294e-18,1.3653835780731148e-20
494.0,3.614090061462169e-18,1.344123506985458e-20
496.0,3.77444392658732e-18,1.2945485396329885e-20
498.0,3.9050371989381556e-18,1.244719891523079e-20
500.0,4.015880234073761e-18,1.2194318537889286e-20
502.0,4.0965859713129855e-18,1.2147828957585568e-20
504.0,4.14445006145152e-18,1.2160295198163032e-20
506.0,4.1267462717579285e-18,1.2016069534506082e-20
508.0,4.051094479705081e-18,1.1702990747744284e-20
510.0,3.9485443628900606e-18,1.1338161270391902e-20
512.0,3.851160317723059e-18,1.1049690150974758e-20
514.0,3.7834287430712764e-18,1.0907533670846248e-20
516.0,3.74198998460818e-18,1.0861253540280051e-20
518.0,3.710556158605284e-18,1.0807898808475705e-20
520.0,3.6716378510235e-18,1.065276528036573e-20
522.0,3.637036570437959e-18,1.0419763334673038e-20
524.0,3.609750920638962e-18,1.0147186177939861e-20
526.0,3.589912506076583e-18,9.895635012153969e-21
528.0,3.578790228227033e-18,9.734552559362958e-21
530.0,3.563618123690528e-18,9.666634726839673e-21
532.0,3.523287792771128e-18,9.619528489640084e-21
534.0,3.461760308124248e-18,9.542998129998644e-21
536.0,3.3922894668679573e-18,9.404597647653145e-21
538.0,3.319495968865237e-18,9.181919183031046e-21
540.0,3.251461325245069e-18,8.91351635939407e-21
542.0,3.1998870806287085e-18,8.685236831602613e-21
544.0,3.163197896385284e-18,8.547221487719279e-21
546.0,3.123902021894271e-18,8.470267048745118e-21
548.0,3.0855851277231245e-18,8.432366982721988e-21
550.0,3.046907831497868e-18,8.371159053539517e-21
552.0,3.0110741326900386e-18,8.247418961413778e-21
554.0,2.970085221590581e-18,8.029253259781124e-21
556.0,2.9401188126634048e-18,7.793860229811172e-21
558.0,2.914760461716397e-18,7.583206882852488e-21
560.0,2.8892350305825436e-18,7.440554765588032e-21
562.0,2.8616702853846358e-18,7.383228084718204e-21
564.0,2.8301195729856496e-18,7.383020024862513e-21
566.0,2.7959169940943397e-18,7.389178685169264e-21
568.0,2.759027525720569e-18,7.345451208614589e-21
570.0,2.729162948939412e-18,7.245300092582559e-21
572.0,2.7066337295335073e-18,7.091504621490124e-21
574.0,2.6803566402803603e-18,6.887348711865442e-21
576.0,2.654379833683552e-18,6.690700200567242e-21
578.0,2.620509457510408e-18,6.5201275626945544e-21
580.0,2.5833620567649194e-18,6.400009117927365e-21
582.0,2.535569026732322e-18,6.294330050563771e-21
584.0,2.4765427477213123e-18,6.166214975591911e-21
586.0,2.4229524682549963e-18,6.0238861531972385e-21
588.0,2.3714304114179782e-18,5.842008872338e-21
590.0,2.3294833223926085e-18,5.642342168715656e-21
592.0,2.304260676660087e-18,5.461296612479548e-21
594.0,2.2795726278430927e-18,5.288363171443232e-21
596.0,2.262225624495409e-18,5.16718019674268e-21
598.0,2.2574882565363733e-18,5.125698792751335e-21
600.0,2.255985441628797e-18,5.141679189124214e-21
602.0,2.253582028139631e-18,5.188232797087559e-21
604.0,2.2430234015777006e-18,5.2209500420945885e-21
606.0,2.227054341295588e-18,5.218506322507299e-21
608.0,2.2037113024505715e-18,5.158177533207276e-21
610.0,2.176868605192546e-18,5.044979866311917e-21
612.0,2.148724498155567e-18,4.893855997026901e-21
614.0,2.1194539424440997e-18,4.724735196259701e-21
616.0,2.089596256606486e-18,4.561390857015642e-21
618.0,2.0626190908652408e-18,4.4298497932909475e-21
620.0,2.0285026626405174e-18,4.317662778362182e-21
622.0,1.9987858060492766e-18,4.247282126828497e-21
624.0,1.979335306778085e-18,4.2200724256319746e-21
626.0,1.956861015512603e-18,4.193322634148268e-21
628.0,1.9352286901006915e-18,4.162348513286599e-21
630.0,1.9141642676739116e-18,4.118948677050275e-21
632.0,1.8890974674959235e-18,4.0525503546969735e-21
634.0,1.8659623219744964e-18,3.9819334356808e-21
636.0,1.8539353038473156e-18,3.672396896533241e-21
638.0,1.9025110025958382e-18,4.5452150514710816e-21
640.0,1.9024743806773735e-18,6.443311636546417e-21
642.0,1.8935505944003864e-18,9.229618923470917e-21
644.0,1.856931971947372e-18,1.106353431762499e-20
646.0,1.79693560455269e-18,1.0838514682960766e-20
648.0,1.7249211660501499e-18,1.0406900434306729e-20
