wavelength,flux,flux_error
336.0,7.627776868422416e-18,6.33929424259191e-19
338.0,7.351593399038681e-18,4.616552683691333e-19
340.0,7.241901074316325e-18,3.7593944901222555e-19
342.0,6.579927864152493e-18,3.200779181843912e-19
344.0,6.133315384032228e-18,3.0283054859331313e-19
346.0,6.209071532737952e-18,2.959738727226816e-19
348.0,6.8343494976246686e-18,3.110495021453031e-19
350.0,6.876086792360593e-18,3.2878187231840325e-19
352.0,6.373509030784571e-18,3.629331774890433e-19
354.0,6.1644552471916526e-18,3.8409828441461684e-19
356.0,6.557939589944959e-18,3.672499880724188e-19
358.0,6.544374862113623e-18,3.264388462275951e-19
360.0,6.102386032695073e-18,3.0166833079716577e-19
362.0,5.613554220631086e-18,2.9623457403157024e-19
364.0,5.947809012010865e-18,2.936025638936588e-19
366.0,6.485207907903466e-18,3.112401034768092e-19
368.0,6.518810891498136e-18,3.2184265636867467e-19
370.0,5.733321813284583e-18,3.4421076215001714e-19
372.0,5.5808582780215366e-18,3.57761158729951e-19
374.0,6.838449227823181e-18,3.7575440521394557e-19
376.0,8.536835089547711e-18,4.0361704099368214e-19
378.0,9.566213912884123e-18,4.14429932199335e-19
380.0,9.219687002890865e-18,4.406055264113939e-19
382.0,9.07433647257503e-18,4.327396321185316e-19
384.0,9.832336346048663e-18,4.149812618556918e-19
386.0,1.0837669595499459e-17,3.9338925558870233e-19
388.0,1.1327591630695447e-17,3.449278846893697e-19
390.0,1.0624985516474767e-17,3.1311564911854763e-19
392.0,9.853405452025555e-18,2.785997536859046e-19
394.0,9.707271303985878e-18,2.456373078671505e-19
396.0,9.983285587780568e-18,2.313407032833094e-19
398.0,1.0574457430532815e-17,2.1153482706053119e-19
400.0,1.1050727764907221e-17,1.966569619571274e-19
402.0,1.1035425234956682e-17,1.93113357484314e-19
404.0,1.0972625986903075e-17,1.8154921951338777e-19
406.0,1.0775259408619008e-17,1.7410947038493464e-19
408.0,1.0430739877665546e-17,1.7461617855429127e-19
410.0,1.0268344943405859e-17,1.6752690134167994e-19
412.0,1.0210006889767364e-17,1.621833061483863e-19
414.0,1.0106222487720157e-17,1.6520454318467613e-19
416.0,1.0133126367895492e-17,1.6165163135764232e-19
418.0,1.0547237162419865e-17,1.5622472148694275e-19
420.0,1.0760518412529306e-17,1.5909910223349043e-19
422.0,1.0771371351092437e-17,1.588505513917623e-19
424.0,1.0634701554345887e-17,1.515314280421753e-19
426.0,1.0305761233971732e-17,1.5063756649197071e-19
428.0,9.633048109712036e-18,1.5364212778510216e-19
430.0,8.895495191056635e-18,1.483287548085906e-19
432.0,8.619665233442726e-18,1.41511248733254e-19
434.0,8.601983757257352e-18,1.4283362066756626e-19
436.0,8.739878800614149e-18,1.4447852087683124e-19
438.0,9.01883645957107e-18,1.3789557133506214e-19
440.0,9.397427860493997e-18,1.3227580849887784e-19
442.0,9.683164007903274e-18,1.3432743288610223e-19
444.0,9.702095164824246e-18,1.3584136024234083e-19
446.0,9.418480199402205e-18,1.294915882846e-19
448.0,9.239073835178808e-18,1.2337988910952918e-19
450.0,9.264323120688279e-18,1.241829263862384e-19
452.0,9.283845623383466e-18,1.2643548930276228e-19
454.0,9.164876496619832e-18,1.2234737841099339e-19
456.0,9.052926642527029e-18,1.1530153420055467e-19
458.0,9.149187140468828e-18,1.1325844604670512e-19
460.0,9.275265373321967e-18,1.1513372741535297e-19
462.0,9.217176652038693e-18,1.1423581186531381e-19
464.0,8.93465728181663e-18,1.0840959753728819e-19
466.0,8.700079301124025e-18,1.0304891070190425e-19
468.0,8.737468909170469e-18,1.0236742129925915e-19
470.0,8.858881422565488e-18,1.0331205311483361e-19
472.0,8.850533024619743e-18,1.013759656842589e-19
474.0,8.646515735932529e-18,9.626202188130178e-20
476.0,8.393967481426712e-18,9.185572418814205e-20
478.0,8.242283047316854e-18,9.071420098877798e-20
480.0,8.130908115489493e-18,9.129732515328247e-20
482.0,7.878657408861052e-18,9.012229154447057e-20
484.0,7.496068916352594e-18,8.674851279050043e-20
486.0,7.125311134765276e-18,8.283643015632129e-20
488.0,6.990306960818823e-18,8.076496648803984e-20
490.0,7.108115134554022e-18,8.056582756603305e-20
492.0,7.338217107150757e-18,8.052274231969563e-20
494.0,7.515515327245347e-18,7.912805550707642e-20
496.0,7.597505270806763e-18,7.659715727641444e-20
498.0,7.64679860997494e-18,7.415320167502013e-20
500.0,7.734757604113047e-18,7.271306148172687e-20
502.0,7.81363177075755e-18,7.201927021514449e-20
504.0,7.820521886873676e-18,7.17105296506806e-20
506.0,7.664585272357853e-18,7.095470126933713e-20
508.0,7.38581250698658e-18,6.963441431598878e-20
510.0,7.09783899040076e-18,6.799044995022792e-20
512.0,6.9017485908526015e-18,6.638662367586077e-20
514.0,6.836147996705247e-18,6.526664560783695e-20
516.0,6.854953884053096e-18,6.469737113693581e-20
518.0,6.8908366111573804e-18,6.441548512698071e-20
520.0,6.897904655007955e-18,6.390425296213476e-20
522.0,6.902722078497238e-18,6.303290512358583e-20
524.0,6.9201191181137835e-18,6.169393388341204e-20
526.0,6.953905680766231e-18,6.013059679338145e-20
528.0,7.000042392820304e-18,5.891643595304144e-20
530.0,7.01815781440275e-18,5.834441273370411e-20
532.0,6.953144389815413e-18,5.816813876180108e-20
534.0,6.8148685099530656e-18,5.805926807328534e-20
536.0,6.6474530880813414e-18,5.761832339261216e-20
538.0,6.48254672671462e-18,5.649718817358853e-20
540.0,6.35227368797917e-18,5.48557397016295e-20
542.0,6.284536309861022e-18,5.330249509171532e-20
544.0,6.271073001199981e-18,5.2312600429682965e-20
546.0,6.266350186844784e-18,5.185777223921855e-20
548.0,6.2666624137684995e-18,5.184967398281832e-20
550.0,6.2621165758564175e-18,5.182521251618776e-20
552.0,6.255154628968649e-18,5.1397601363508904e-20
554.0,6.2275760563921494e-18,5.0252830639135087e-20
556.0,6.215028463015872e-18,4.883892764049514e-20
558.0,6.208437840890712e-18,4.7465225527821586e-20
560.0,6.199779690887377e-18,4.6495622630000494e-20
562.0,6.1810348760887114e-18,4.612825544338627e-20
564.0,6.140554138630085e-18,4.623316284310417e-20
566.0,6.07733904190016e-18,4.647963231149985e-20
568.0,5.994303026440513e-18,4.645301734102191e-20
570.0,5.9200838841067965e-18,4.6037968648111414e-20
572.0,5.8637448795936265e-18,4.519753281159347e-20
574.0,5.80847125177171e-18,4.3932449323326185e-20
576.0,5.767843760234531e-18,4.2632459892487354e-20
578.0,5.725192589115233e-18,4.1468296568643236e-20
580.0,5.6875027206043716e-18,4.065429974916055e-20
582.0,5.632789722095826e-18,4.0002083509025975e-20
584.0,5.553622010823639e-18,3.928401840991294e-20
586.0,5.483085924617199e-18,3.8527016416827415e-20
588.0,5.411576359312887e-18,3.7528303185324597e-20
590.0,5.355705568151735e-18,3.6387482761394443e-20
592.0,5.333229304806479e-18,3.531207768006713e-20
594.0,5.309287618564632e-18,3.422459146399936e-20
596.0,5.302268218712345e-18,3.341685236873992e-20
598.0,5.325767817546541e-18,3.309413397783644e-20
600.0,5.356390060443048e-18,3.314398874004002e-20
602.0,5.381125244732968e-18,3.342323665006653e-20
604.0,5.379735288642233e-18,3.3665075268264867e-20
606.0,5.357653250854702e-18,3.373258581461507e-20
608.0,5.3111146394858106e-18,3.3460682281128943e-20
610.0,5.251876352487163e-18,3.28516012160798e-20
612.0,5.188561488078959e-18,3.1970549370543584e-20
614.0,5.125363639149023e-18,3.0923709664037716e-20
616.0,5.067240996989755e-18,2.985837555055924e-20
618.0,5.0252087080664384e-18,2.895390245477312e-20
620.0,4.975237002442644e-18,2.8149952618487196e-20
622.0,4.9435619813668155e-18,2.761804234836103e-20
624.0,4.942007492372206e-18,2.73882798457087e-20
626.0,4.934903531609354e-18,2.7197400203454644e-20
628.0,4.9297402504274625e-18,2.701913066068311e-20
630.0,4.924557064896676e-18,2.6793497038278342e-20
632.0,4.906889663109557e-18,2.6436007611469644e-20
634.0,4.892012875600368e-18,2.6047754219818493e-20
636.0,4.8816762614589015e-18,2.361212931886165e-20
638.0,4.987759653905223e-18,2.6590232218381727e-20
640.0,4.968261858790173e-18,3.6221642290779717e-20
642.0,4.919929333069771e-18,5.1963784128903985e-20
644.0,4.871477286923621e-18,6.23952721054616e-20
646.0,4.788406260003114e-18,6.119692940206157e-20
