wavelength,flux,flux_error
336.0,2.350394114599899e-17,7.107750369045643e-19
338.0,2.2312556157982896e-17,5.33577081895978e-19
340.0,2.2407889766242525e-17,4.460740378507034e-19
342.0,2.163967047381713e-17,3.909571200368309e-19
344.0,2.0209316261864387e-17,3.7331782558020955e-19
346.0,1.894917976665581e-17,3.707945266173243e-19
348.0,1.8994355883059948e-17,3.924358394811428e-19
350.0,1.94324718108284e-17,4.166349288058716e-19
352.0,1.9130446268511397e-17,4.617187224038316e-19
354.0,1.82646030392268e-17,4.900822534570335e-19
356.0,1.7662710252291352e-17,4.692644251629744e-19
358.0,1.7912985336145603e-17,4.1849500616483026e-19
360.0,1.833415179582089e-17,3.8525767399100865e-19
362.0,1.8036936148394995e-17,3.7813644699306403e-19
364.0,1.7342491407524793e-17,3.7245671820430767e-19
366.0,1.7001962248287483e-17,3.9144852151120517e-19
368.0,1.7074417088115327e-17,4.0272428587071907e-19
370.0,1.643571262863044e-17,4.2438550395250257e-19
372.0,1.6437481574794144e-17,4.430499422260486e-19
374.0,1.678826847535695e-17,4.581879189472034e-19
376.0,1.7811521933184288e-17,4.903822400133169e-19
378.0,1.8623143475409828e-17,5.000956714828614e-19
380.0,1.8704628037307386e-17,5.287816921312938e-19
382.0,1.9181681456339617e-17,5.227275445333727e-19
384.0,1.9731024663551942e-17,4.927050246384543e-19
386.0,2.0730118376926912e-17,4.71544027378294e-19
388.0,2.1011460135228882e-17,4.1191784588970288e-19
390.0,2.0418854685885877e-17,3.6877805575390713e-19
392.0,2.0255859011846996e-17,3.336885448655223e-19
394.0,1.9899631602102067e-17,2.8910472219962444e-19
396.0,1.968012130801822e-17,2.694569586254175e-19
398.0,2.00262474640518e-17,2.5075357326223865e-19
400.0,1.9621324111580803e-17,2.2778158809140745e-19
402.0,1.9491452716702732e-17,2.2169841933384624e-19
404.0,1.9813949490111818e-17,2.1244695506575023e-19
406.0,1.937512501189343e-17,1.9957998495711986e-19
408.0,1.8879284526619708e-17,1.9764572925094446e-19
410.0,1.8954875238226076e-17,1.9358987351926242e-19
412.0,1.8380956008798127e-17,1.843500014309448e-19
414.0,1.7826459092300004e-17,1.8406100706265887e-19
416.0,1.8302836820839843e-17,1.8381440404161077e-19
