wavelength,flux,flux_error
336.0,5.503462036625687e-18,1.250207346450325e-19
338.0,5.1902637615160145e-18,9.037356083629947e-20
340.0,5.065735012431153e-18,7.372777080244207e-20
342.0,4.978607581987737e-18,6.276635101325771e-20
344.0,4.920908692584174e-18,5.910807436239817e-20
346.0,4.8441988313703686e-18,5.759414867278344e-20
348.0,4.924111661909763e-18,6.04514857529602e-20
350.0,4.9538291080018205e-18,6.37349118965382e-20
352.0,4.940915729962759e-18,7.011490566219197e-20
354.0,4.941529838498471e-18,7.415101256272055e-20
356.0,4.983296394796421e-18,7.088947726313312e-20
358.0,4.979430531161978e-18,6.274781610417659e-20
360.0,5.043908243008918e-18,5.807921075477402e-20
362.0,4.910979785806517e-18,5.6528854702444e-20
364.0,4.798820831323746e-18,5.623056502745912e-20
366.0,4.7701267061964754e-18,5.871035458979395e-20
368.0,4.918966475146299e-18,6.121076694484715e-20
370.0,4.996563653606374e-18,6.439473845831872e-20
372.0,5.11267764555106e-18,6.711994798113506e-20
374.0,5.270213831313871e-18,6.985928690865377e-20
376.0,5.358903957957911e-18,7.420550101137897e-20
378.0,5.494840944133005e-18,7.649287702338165e-20
380.0,5.612898770094927e-18,7.983771044929855e-20
382.0,5.9600503244402395e-18,7.906026800985649e-20
384.0,6.332217411125874e-18,7.491585153653804e-20
386.0,6.560037206026433e-18,7.063126429883513e-20
388.0,6.552026051611779e-18,6.216836799724182e-20
390.0,6.271501575176168e-18,5.537025117448819e-20
392.0,6.071351453140173e-18,4.9581941519814466e-20
394.0,5.9785709960788e-18,4.342964494456494e-20
396.0,5.9995543228342574e-18,4.0295082267971287e-20
398.0,6.235408244857149e-18,3.721116179936668e-20
400.0,6.48055563289815e-18,3.4175510562365713e-20
402.0,6.729154712420739e-18,3.322738360821154e-20
404.0,6.898268138861033e-18,3.161070813807568e-20
406.0,6.848193641960287e-18,2.9960042991752077e-20
408.0,6.704020669260314e-18,2.9780997868232143e-20
410.0,6.586123203007303e-18,2.8954565900088595e-20
412.0,6.471550472179356e-18,2.7764626094381643e-20
414.0,6.506476544521844e-18,2.7924304339454664e-20
416.0,6.657119020668521e-18,2.766198462125565e-20
418.0,6.75420524566115e-18,2.665237731612234e-20
420.0,6.7724683843811946e-18,2.6731249385386174e-20
422.0,6.745424389683977e-18,2.6881891377724653e-20
424.0,6.625014579680513e-18,2.5942300288669837e-20
426.0,6.4371738286516155e-18,2.5461903103018823e-20
428.0,6.313718040429259e-18,2.5772816236998225e-20
430.0,6.23811590738165e-18,2.5300031784972e-20
432.0,6.142525266534315e-18,2.4253773885717545e-20
434.0,6.081311093155053e-18,2.413997031526366e-20
436.0,6.114545578037933e-18,2.431378831586129e-20
438.0,6.194398056722972e-18,2.3583780704514647e-20
440.0,6.253286594243644e-18,2.26632783842976e-20
442.0,6.3513098218877785e-18,2.2715787527273662e-20
444.0,6.4895948904560074e-18,2.2840335142439074e-20
446.0,6.553820688725779e-18,2.206612602863298e-20
448.0,6.511358758750815e-18,2.115481910998246e-20
450.0,6.4472529847408326e-18,2.1115551031516128e-20
452.0,6.415570330516635e-18,2.1336165518670724e-20
454.0,6.372211137091394e-18,2.0775025463487865e-20
456.0,6.3007329404146464e-18,1.9791728611128355e-20
458.0,6.26293444340418e-18,1.9402589095295758e-20
460.0,6.313243338687427e-18,1.9599775905952812e-20
462.0,6.389078121793321e-18,1.9430233749482203e-20
464.0,6.3960622745251476e-18,1.8617272823643257e-20
466.0,6.32560765416178e-18,1.7805946222525413e-20
468.0,6.2830320513152765e-18,1.7651869417751524e-20
470.0,6.270981443181408e-18,1.7760206281145943e-20
472.0,6.237119946903402e-18,1.7458715783589133e-20
474.0,6.151843044687163e-18,1.6713861802537375e-20
476.0,6.038796182042909e-18,1.6031282882488423e-20
478.0,5.962270671304337e-18,1.58142068180075e-20
480.0,5.9458586989473764e-18,1.5887058772878878e-20
482.0,5.9113655841635914e-18,1.5719004918882515e-20
484.0,5.840549314571624e-18,1.5234838667659332e-20
486.0,5.731123344602047e-18,1.4634353371787084e-20
488.0,5.6585736189678465e-18,1.4283370326488954e-20
490.0,5.6580349465606965e-18,1.4229584564535433e-20
492.0,5.703890110398708e-18,1.4230382416621816e-20
494.0,5.741636750555922e-18,1.4040673482012043e-20
496.0,5.7556026592639216e-18,1.365610882958982e-20
498.0,5.767280694875417e-18,1.3253537903545054e-20
500.0,5.798974958299861e-18,1.3002815767414665e-20
502.0,5.8278891139709724e-18,1.289147914575576e-20
504.0,5.847846423263612e-18,1.2877028312892394e-20
506.0,5.812827381574558e-18,1.2792366040766455e-20
508.0,5.731523416165661e-18,1.2580598367133908e-20
510.0,5.637616678386048e-18,1.2278146699388243e-20
512.0,5.560229384645636e-18,1.197484922141375e-20
514.0,5.5221356571578545e-18,1.1779372598665668e-20
516.0,5.515954100217852e-18,1.1714554630326062e-20
518.0,5.520511946348244e-18,1.1712703764235476e-20
520.0,5.512453038376237e-18,1.1646290999520779e-20
522.0,5.509008607809279e-18,1.1481416372652756e-20
524.0,5.510393938412683e-18,1.1217947182530643e-20
526.0,5.512714567003594e-18,1.092706210083117e-20
528.0,5.519590579466749e-18,1.0728755016988274e-20
530.0,5.517534208240022e-18,1.0670115798937511e-20
532.0,5.480032011871784e-18,1.0680040496449681e-20
534.0,5.4164143258387435e-18,1.067471376659644e-20
536.0,5.346747514114445e-18,1.0581630293511852e-20
538.0,5.275099704708741e-18,1.035702372048103e-20
540.0,5.211231360144789e-18,1.005121908153376e-20
542.0,5.1736055349160695e-18,9.785860754263917e-21
544.0,5.162806636594356e-18,9.642596876134386e-21
546.0,5.1536077682022726e-18,9.596173292849768e-21
548.0,5.1519192223615816e-18,9.60833934162102e-21
550.0,5.152355712134018e-18,9.587566555316274e-21
552.0,5.155458601062875e-18,9.476139003474764e-21
554.0,5.142580744115159e-18,9.237144289865054e-21
556.0,5.1385290357405995e-18,8.96857767863108e-21
558.0,5.132455714150489e-18,8.73159353694062e-21
560.0,5.119224724129255e-18,8.585639554104917e-21
562.0,5.0998411418971654e-18,8.551356673337924e-21
564.0,5.07358298107894e-18,8.588083459645486e-21
566.0,5.04318354455364e-18,8.626972903664001e-21
568.0,5.007832972112571e-18,8.597204694137488e-21
570.0,4.9846970889644566e-18,8.491941781074167e-21
572.0,4.974501549473768e-18,8.318847692064459e-21
574.0,4.957342534870513e-18,8.086947615367465e-21
576.0,4.9418602915783504e-18,7.868172793296663e-21
578.0,4.915001144507943e-18,7.68553624178805e-21
580.0,4.8873706480729125e-18,7.565448763879823e-21
582.0,4.845106243669796e-18,7.461208867631063e-21
584.0,4.784552450143758e-18,7.325952417189984e-21
586.0,4.7344675856397246e-18,7.169056432855718e-21
588.0,4.685462239674292e-18,6.962061805273506e-21
590.0,4.6500633240806444e-18,6.7328943590367756e-21
592.0,4.641370294893619e-18,6.5263500672206104e-21
594.0,4.626602762810102e-18,6.330320476585201e-21
596.0,4.620482324974273e-18,6.1967065453845e-21
598.0,4.636247161385956e-18,6.158355541185028e-21
600.0,4.657356014466177e-18,6.187797202369963e-21
602.0,4.676807125308784e-18,6.2523135395903784e-21
604.0,4.679724959169636e-18,6.298878044178186e-21
606.0,4.671266095896039e-18,6.302924285040345e-21
608.0,4.646832889522476e-18,6.238175570970855e-21
610.0,4.6143974564959076e-18,6.111109320959656e-21
612.0,4.578843744767385e-18,5.939167243744325e-21
614.0,4.541122107778863e-18,5.7450177841710815e-21
616.0,4.503367906443508e-18,5.555839138275137e-21
618.0,4.474578873689442e-18,5.4021162530201835e-21
620.0,4.434622103849075e-18,5.268364521092472e-21
622.0,4.409590366658726e-18,5.182647716812154e-21
624.0,4.4127515605453024e-18,5.14806353895385e-21
626.0,4.4138592759917785e-18,5.114217564825753e-21
628.0,4.419910109980579e-18,5.076887698038722e-21
630.0,4.428665410857204e-18,5.026901245597995e-21
632.0,4.427982041937443e-18,4.9512914187239645e-21
634.0,4.430390561905211e-18,4.8720178043043375e-21
636.0,4.4223597494826256e-18,4.469650132320584e-21
638.0,4.478895236492857e-18,5.394639855944329e-21
640.0,4.470162597065398e-18,7.61928439761295e-21
642.0,4.438419582806016e-18,1.1035875073432406e-20
644.0,4.3514726056031614e-18,1.3271781090203599e-20
646.0,4.25414451435823e-18,1.3017231414811793e-20
648.0,4.179975073661461e-18,1.2615896405178987e-20
650.0,4.146276058162165e-18,1.2792849091684549e-20
652.0,4.117826618098992e-18,1.2741321670556063e-20
654.0,4.056563460499844e-18,1.226938189236644e-20
656.0,3.980576153689916e-18,1.2211652659759547e-20
658.0,3.950495950013802e-18,1.2367958084618976e-20
660.0,3.977117019319353e-18,1.200144944247132e-20
662.0,4.029754091467485e-18,1.1608845486572006e-20
664.0,4.087692210520635e-18,1.1714822987092124e-20
666.0,4.116748366544057e-18,1.1620443027725512e-20
668.0,4.098275383077041e-18,1.1135468426980464e-20
670.0,4.048703451456694e-18,1.1002756273513994e-20
672.0,4.005644058512686e-18,1.1129195554308786e-20
674.0,3.983862056943984e-18,1.083148843515408e-20
676.0,3.9862856390970796e-18,1.046458132887035e-20
678.0,3.992586499600401e-18,1.0538567177002563e-20
680.0,3.989342357229363e-18,1.056828363525651e-20
682.0,3.962623695782128e-18,1.0201137390493943e-20
684.0,3.912138075299951e-18,1.0015883516448815e-20
686.0,3.865311726334561e-18,1.0178965446557927e-20
688.0,3.838604358107151e-18,1.0051596479559774e-20
690.0,3.8296193616775826e-18,9.65555996734153e-21
692.0,3.828081920473796e-18,9.609954497010671e-21
694.0,3.842588148998732e-18,9.759064469240688e-21
696.0,3.826384993858314e-18,9.502765383133789e-21
698.0,3.788982868158315e-18,9.173643040015756e-21
700.0,3.749330452406664e-18,9.261878555886553e-21
702.0,3.7280057687978385e-18,9.361239094736199e-21
704.0,3.701391086935247e-18,9.025485768833345e-21
706.0,3.691884840395695e-18,8.778995170967531e-21
708.0,3.7028493012573284e-18,8.97209677182149e-21
710.0,3.702779381378298e-18,9.011388594518383e-21
712.0,3.67107349595869e-18,8.657582262634189e-21
714.0,3.6296251733010124e-18,8.487600390375264e-21
716.0,3.60501685687316e-18,8.729172913721037e-21
718.0,3.5858057182565566e-18,8.757192111914038e-21
720.0,3.55449345761497e-18,8.379791971199857e-21
722.0,3.545170071351349e-18,8.24458373481472e-21
724.0,3.544224008998991e-18,8.485264343606714e-21
726.0,3.539371306123489e-18,8.496533742406903e-21
728.0,3.518936149295542e-18,8.12459841983386e-21
730.0,3.476623690809561e-18,7.934302885474042e-21
732.0,3.450263516155467e-18,8.157865857713201e-21
734.0,3.437505017646204e-18,8.213950862347635e-21
736.0,3.429879146790942e-18,7.863287227222318e-21
738.0,3.4100176910690283e-18,7.617414410991787e-21
740.0,3.403869641779051e-18,7.83321128984583e-21
742.0,3.4052306230889922e-18,8.010551619069704e-21
744.0,3.388339857118373e-18,7.737127272064036e-21
746.0,3.351130225983749e-18,7.435759709147361e-21
748.0,3.310024585121243e-18,7.575189642281471e-21
750.0,3.299248837061293e-18,7.843867888652094e-21
752.0,3.291710481861508e-18,7.682856614281108e-21
754.0,3.289436079307545e-18,7.319083934029269e-21
756.0,3.2771733056128266e-18,7.303881783853786e-21
758.0,3.275933520508593e-18,7.600917745924722e-21
760.0,3.2742717293739046e-18,7.631336187315848e-21
762.0,3.25309536849626e-18,7.268903720018662e-21
764.0,3.2232516569130713e-18,7.067087388545637e-21
766.0,3.1931878647856996e-18,7.311483076297544e-21
768.0,3.1713956554472845e-18,7.533331800539129e-21
770.0,3.1688353252739247e-18,7.351856667507116e-21
772.0,3.164616533501218e-18,7.003381378428775e-21
774.0,3.1599654923106492e-18,7.042927312212911e-21
776.0,3.153744626014484e-18,7.378968506206819e-21
778.0,3.139957299859313e-18,7.448999984480895e-21
780.0,3.119454239911152e-18,7.123902899011587e-21
782.0,3.089996484686709e-18,6.861469475704017e-21
784.0,3.0720136672283382e-18,7.083486495230959e-21
786.0,3.0487073572785967e-18,7.40404728985431e-21
788.0,3.0262625390464085e-18,7.327862850858563e-21
790.0,3.015413753475131e-18,6.937180228435542e-21
792.0,3.013411235064425e-18,6.765559542302648e-21
794.0,3.0162202383198865e-18,7.042106210329065e-21
796.0,3.008581732143734e-18,7.302789073351057e-21
798.0,2.9807570052661744e-18,7.123802036906509e-21
800.0,2.9528200616719843e-18,6.705403040333249e-21
802.0,2.9300214702336797e-18,6.569524697327392e-21
804.0,2.9097484202041042e-18,6.855056804969005e-21
806.0,2.8916987324342093e-18,7.107180238606205e-21
808.0,2.865917878232586e-18,6.930649151764837e-21
810.0,2.84484091620309e-18,6.511114361306296e-21
812.0,2.84186065648428e-18,6.375263747101823e-21
814.0,2.836423175649808e-18,6.6507091005320046e-21
816.0,2.836831734968586e-18,6.952898110804434e-21
818.0,2.8151715020709655e-18,6.843090475474075e-21
820.0,2.7901283842211624e-18,6.45616073955929e-21
822.0,2.7674435270283332e-18,6.2476708647686825e-21
824.0,2.7592265962537767e-18,6.49251454692625e-21
826.0,2.7569859303787025e-18,6.854822390059453e-21
828.0,2.7476695194074122e-18,6.876241391171153e-21
830.0,2.7328873143627395e-18,6.5278886020229815e-21
832.0,2.7246590183327105e-18,6.218527062793056e-21
834.0,2.72283092604799e-18,6.3221052522636256e-21
836.0,2.722024423339291e-18,6.702009489521364e-21
838.0,2.7173789367651773e-18,6.912377865108985e-21
840.0,2.689720883305378e-18,6.7027353798716364e-21
842.0,2.658254554721308e-18,6.336095996260374e-21
844.0,2.6197728552826875e-18,6.2122674877390456e-21
846.0,2.6130099096994554e-18,6.536570056638716e-21
848.0,2.6064952566360662e-18,6.895700842240915e-21
850.0,2.5988505530405035e-18,6.928797705285655e-21
852.0,2.5816657819756048e-18,6.606877848995085e-21
854.0,2.5742206627546586e-18,6.317834245592044e-21
856.0,2.5761937353310457e-18,6.401468796904152e-21
858.0,2.5859074355861452e-18,6.793911305836726e-21
860.0,2.580437217846082e-18,7.067937634443173e-21
862.0,2.5609989124704123e-18,6.979695243647536e-21
864.0,2.5394385015588e-18,6.6584494811261076e-21
