wavelength,flux,flux_error
336.0,4.731477549287115e-18,1.1869691031752173e-19
338.0,4.300303679655384e-18,8.57279555231914e-20
340.0,4.115428848948769e-18,6.976479103627963e-20
342.0,4.053213481674656e-18,5.929925398458563e-20
344.0,4.087223271282455e-18,5.583973638554667e-20
346.0,4.111116252624145e-18,5.437268046502356e-20
348.0,4.1974814873725086e-18,5.702923423235178e-20
350.0,4.196930589307171e-18,6.0146203281243e-20
352.0,4.227522020248201e-18,6.612704921984036e-20
354.0,4.32791955377187e-18,6.987178640578917e-20
356.0,4.36045077880104e-18,6.680882772690505e-20
358.0,4.198659818845466e-18,5.913945227316933e-20
360.0,4.138314291151544e-18,5.467574892927938e-20
362.0,4.107755270301562e-18,5.331221697883852e-20
364.0,4.230698791286036e-18,5.296964728311954e-20
366.0,4.351791231375722e-18,5.543507358807159e-20
368.0,4.448245856001432e-18,5.76911787337766e-20
370.0,4.339939138921792e-18,6.081698229069149e-20
372.0,4.334231155318832e-18,6.328903965737778e-20
374.0,4.411606134391481e-18,6.582392756341975e-20
376.0,4.464323840010234e-18,6.991550917915792e-20
378.0,4.4872156699498434e-18,7.189667964070049e-20
380.0,4.419388870194823e-18,7.516752669443875e-20
382.0,4.555619421152914e-18,7.410631070334494e-20
384.0,4.689491955061871e-18,7.02896436637532e-20
386.0,4.7581089171774955e-18,6.617481367470748e-20
388.0,4.681972625789164e-18,5.798751955009086e-20
390.0,4.420269408031791e-18,5.1837385269890117e-20
392.0,4.294551235910758e-18,4.6254285152259314e-20
394.0,4.300180327881162e-18,4.049187458121122e-20
396.0,4.415657750096847e-18,3.770593689774319e-20
398.0,4.78365186223111e-18,3.4654621055976503e-20
400.0,5.189157943302571e-18,3.192197605173832e-20
402.0,5.559217139676347e-18,3.1146919247804064e-20
404.0,5.875114890475522e-18,2.945686055326057e-20
406.0,5.979736325640926e-18,2.799582426862948e-20
408.0,5.9006001918258195e-18,2.7973927574550186e-20
410.0,5.851685756126706e-18,2.7029892308007064e-20
412.0,5.806738988581268e-18,2.5910721507332857e-20
414.0,5.814375574775033e-18,2.6250930733556875e-20
416.0,5.902148470136483e-18,2.5842604615883725e-20
418.0,5.941983537634413e-18,2.4783569247817793e-20
420.0,5.8831736339919385e-18,2.5050720231760903e-20
422.0,5.737295840300749e-18,2.5182102473746015e-20
424.0,5.551050671553238e-18,2.411401961801266e-20
426.0,5.3994362542781795e-18,2.37061675123181e-20
428.0,5.308720575892642e-18,2.4196741540295372e-20
430.0,5.284951455304346e-18,2.3651035218981107e-20
432.0,5.28838010564229e-18,2.2559074708719264e-20
434.0,5.336883023262522e-18,2.257177657461026e-20
436.0,5.437557751925974e-18,2.289280860265189e-20
438.0,5.546992201915235e-18,2.2095967999387437e-20
440.0,5.6435330499581006e-18,2.113598546131515e-20
442.0,5.818271835378827e-18,2.1301998592006967e-20
444.0,6.0049139323774654e-18,2.1576876882091018e-20
446.0,6.108009971086949e-18,2.0788589843209625e-20
448.0,6.12043194262634e-18,1.9818439063083642e-20
450.0,6.14144870591856e-18,1.9825611172636958e-20
452.0,6.188039738044275e-18,2.0180105556700986e-20
454.0,6.1880834168793825e-18,1.9680264980500498e-20
456.0,6.132850158242846e-18,1.8655339910343904e-20
458.0,6.121475364961699e-18,1.8258545468028487e-20
460.0,6.201745761723823e-18,1.8528077260040637e-20
462.0,6.279126253301076e-18,1.8462775880224185e-20
464.0,6.268150159555111e-18,1.7674175730499982e-20
466.0,6.1857873434789275e-18,1.6832634925376198e-20
468.0,6.1598523823266995e-18,1.6683935995335486e-20
470.0,6.188702891765792e-18,1.6859764364148457e-20
472.0,6.199769380555599e-18,1.6647629438040558e-20
474.0,6.146872362929868e-18,1.5937512641645843e-20
476.0,6.062179243272971e-18,1.524318060930997e-20
478.0,6.022828105316087e-18,1.5029246420362732e-20
480.0,6.043281194476028e-18,1.514370543758738e-20
482.0,6.0283860269913374e-18,1.5040192240321546e-20
484.0,5.955267925459518e-18,1.459802889624421e-20
486.0,5.832390875268112e-18,1.4004690552041595e-20
488.0,5.7500388998907875e-18,1.365262450689791e-20
490.0,5.747696687129216e-18,1.361583609321083e-20
492.0,5.7932898574366005e-18,1.3648733060511486e-20
494.0,5.8254481150241e-18,1.3493037972075754e-20
496.0,5.828182848778502e-18,1.312857187048617e-20
498.0,5.831745034687838e-18,1.2734995684702357e-20
500.0,5.861375988439323e-18,1.2494535191109032e-20
502.0,5.8879103215418795e-18,1.2401648888579258e-20
504.0,5.898421696691624e-18,1.2406341179829806e-20
506.0,5.8447181189040196e-18,1.2337200154712045e-20
508.0,5.740072650571737e-18,1.2135532941222791e-20
510.0,5.6275233041813914e-18,1.1843601297866304e-20
512.0,5.541631489134298e-18,1.1556654266785244e-20
514.0,5.505173123943634e-18,1.1381334575233277e-20
516.0,5.508112294201196e-18,1.1334732950053426e-20
518.0,5.525820952220312e-18,1.1345244995579202e-20
520.0,5.5344001556213545e-18,1.1287573059651432e-20
522.0,5.55399093710631e-18,1.1132698530878005e-20
524.0,5.58631231833417e-18,1.0885673235988747e-20
526.0,5.624426283984359e-18,1.061670856430458e-20
528.0,5.667040631253197e-18,1.0439237540973623e-20
530.0,5.6963089249305685e-18,1.0394721341898944e-20
532.0,5.68276051595322e-18,1.0411512155957968e-20
534.0,5.636606045576755e-18,1.0409622292962783e-20
536.0,5.581006268707855e-18,1.03226687976742e-20
538.0,5.522086882213907e-18,1.0111532789789589e-20
540.0,5.4709850523210285e-18,9.825466860854005e-21
542.0,5.447451775726927e-18,9.580084675780699e-21
