wavelength,flux,flux_error
336.0,3.4195792974732903e-18,1.263462426637258e-19
338.0,2.8771922737711026e-18,9.092660210779474e-20
340.0,2.7631353789184487e-18,7.373901903980828e-20
342.0,2.789321369317283e-18,6.258119819542389e-20
344.0,2.8427304007538036e-18,5.875604440886731e-20
346.0,2.8199122840575024e-18,5.713266844263327e-20
348.0,2.8419776486445625e-18,5.984160288250748e-20
350.0,2.8364609896112893e-18,6.307641777231196e-20
352.0,2.953897777641877e-18,6.926445044950175e-20
354.0,3.1460846913562524e-18,7.324638086912338e-20
356.0,3.1709496572837655e-18,6.984497492779658e-20
358.0,2.8494153996612202e-18,6.18164999386041e-20
360.0,2.6197842849271822e-18,5.702893348943888e-20
362.0,2.570579304000459e-18,5.554253464818198e-20
364.0,2.856783449215607e-18,5.522872011191384e-20
366.0,3.1638875845994793e-18,5.760833832584629e-20
368.0,3.3697244106246647e-18,6.009283402047421e-20
370.0,3.1998719115046792e-18,6.305764380946952e-20
372.0,3.0044709967798875e-18,6.573750411152916e-20
374.0,2.876364093792487e-18,6.814846878648359e-20
376.0,2.7302986405574353e-18,7.221887493380778e-20
378.0,2.5726034805638446e-18,7.440590714117364e-20
380.0,2.2771057745723407e-18,7.72314042549382e-20
382.0,2.1905282951848388e-18,7.63550478193644e-20
384.0,2.2518021507871432e-18,7.232071558445353e-20
386.0,2.360784736136258e-18,6.77839089358721e-20
388.0,2.4045261488314186e-18,5.958756937323308e-20
390.0,2.259966763679035e-18,5.30480525401485e-20
392.0,2.228755065944214e-18,4.730233769639719e-20
394.0,2.3492935587995664e-18,4.152713088641396e-20
396.0,2.637426582641747e-18,3.854748714150039e-20
398.0,3.1921295283747748e-18,3.547095145636515e-20
400.0,3.745863209153888e-18,3.273074909474488e-20
402.0,4.194387131705713e-18,3.188531095376969e-20
404.0,4.534316306757902e-18,3.017364307403108e-20
406.0,4.633049426510818e-18,2.8694773798196136e-20
408.0,4.619540426318518e-18,2.8662844441936935e-20
410.0,4.6787976322276175e-18,2.7706965021196355e-20
412.0,4.696150054323415e-18,2.657121862129464e-20
414.0,4.750590505594663e-18,2.6897475133254858e-20
416.0,4.823199874258502e-18,2.6493788453652396e-20
418.0,4.723087876873704e-18,2.5393854291726792e-20
420.0,4.524888078433872e-18,2.5606868117644957e-20
422.0,4.344928245059501e-18,2.5819222128738327e-20
424.0,4.1732665464451535e-18,2.4723671680876494e-20
426.0,4.040084710974906e-18,2.424443404237247e-20
428.0,4.059334522212868e-18,2.4753521859200935e-20
430.0,4.176037632824473e-18,2.432730632539067e-20
432.0,4.227880944298416e-18,2.318574979328478e-20
434.0,4.305577287660053e-18,2.3130215215654388e-20
436.0,4.4811765808925825e-18,2.3521381794869755e-20
438.0,4.7023369627453855e-18,2.2855024509889833e-20
440.0,4.869437581271621e-18,2.184529594481756e-20
442.0,5.074373042699138e-18,2.19212175332898e-20
444.0,5.361680026898849e-18,2.2249446138137105e-20
446.0,5.5852673875793765e-18,2.160308023602516e-20
448.0,5.6316131714137285e-18,2.0626203369220897e-20
450.0,5.6700087292057265e-18,2.0544242199768564e-20
452.0,5.795919241882845e-18,2.0894791237444904e-20
454.0,5.91974745516174e-18,2.0507600795994468e-20
456.0,5.9424076319045856e-18,1.953241989681347e-20
458.0,5.9485356938402575e-18,1.9064251485712588e-20
460.0,6.038576596381027e-18,1.9276407137023365e-20
462.0,6.1455823646356086e-18,1.9253042577068444e-20
464.0,6.146043451379346e-18,1.8555909360880197e-20
466.0,6.017357277776141e-18,1.7710315981724998e-20
468.0,5.938296067440522e-18,1.7490517348451464e-20
470.0,5.957394898216328e-18,1.763097068666515e-20
472.0,6.009866900247255e-18,1.7457344136385332e-20
474.0,6.01690249147054e-18,1.6809341495062623e-20
476.0,5.975316489001237e-18,1.6109009512108877e-20
478.0,5.975253554508423e-18,1.5844433520505412e-20
480.0,6.037157211497325e-18,1.5935163165032296e-20
482.0,6.050398050547307e-18,1.585451796215e-20
484.0,5.971203931716198e-18,1.544909855943344e-20
486.0,5.8048804429639715e-18,1.4849170947308535e-20
488.0,5.666768955095937e-18,1.4449097498852252e-20
490.0,5.622163933500946e-18,1.4381540505758202e-20
492.0,5.641602928314497e-18,1.4429794850732924e-20
494.0,5.656002876726364e-18,1.4309490271877656e-20
496.0,5.638930030468204e-18,1.395896571023697e-20
498.0,5.6157440806770145e-18,1.3534660864441658e-20
500.0,5.619670189967601e-18,1.324613168164251e-20
502.0,5.625599356838911e-18,1.313430016088494e-20
504.0,5.6107901721663616e-18,1.3164870897794558e-20
506.0,5.519135509578631e-18,1.3132746170657806e-20
508.0,5.3659373452184895e-18,1.2943153193177995e-20
510.0,5.203820701485648e-18,1.2624184477948082e-20
512.0,5.081434364270186e-18,1.2292508828800525e-20
514.0,5.0314456957526445e-18,1.2096778615518392e-20
516.0,5.0458005856524066e-18,1.2072620244902169e-20
518.0,5.097261171277382e-18,1.2129042688317635e-20
520.0,5.157675670717118e-18,1.210543794455168e-20
522.0,5.2401060567074955e-18,1.195346093900399e-20
524.0,5.3430033516681534e-18,1.1680524937364322e-20
526.0,5.458167142040019e-18,1.1382732761243278e-20
528.0,5.580132015326236e-18,1.1203251678411875e-20
530.0,5.683316971901341e-18,1.118913204745498e-20
532.0,5.7305035290933176e-18,1.1247908418285474e-20
534.0,5.728285335515581e-18,1.12758400453343e-20
536.0,5.701277396576577e-18,1.1192568777872987e-20
538.0,5.660065153461502e-18,1.095921169882546e-20
540.0,5.6215613589614205e-18,1.0643182258853968e-20
542.0,5.609964101490571e-18,1.0384422773302345e-20
544.0,5.626455869796849e-18,1.0268584058578554e-20
546.0,5.641936252819796e-18,1.0257255515212316e-20
548.0,5.662373374229488e-18,1.0298579114329012e-20
550.0,5.683573069368469e-18,1.029105986063539e-20
552.0,5.708769054780641e-18,1.0175994999219924e-20
554.0,5.719648628290238e-18,9.921339058168509e-21
556.0,5.74501929197158e-18,9.640789090406538e-21
558.0,5.7723947428673724e-18,9.404411788040924e-21
560.0,5.793593266122068e-18,9.273239783039837e-21
562.0,5.806585550519378e-18,9.261933605806701e-21
564.0,5.8084221376292895e-18,9.320563878188685e-21
566.0,5.80180137922965e-18,9.373227565579472e-21
568.0,5.786670133059444e-18,9.34536942851665e-21
570.0,5.78454074263568e-18,9.233856556535595e-21
572.0,5.798343973859797e-18,9.05170341387895e-21
574.0,5.8065289386066685e-18,8.811658637771889e-21
576.0,5.819493637424839e-18,8.591247224831197e-21
578.0,5.820389829373143e-18,8.411128525069668e-21
580.0,5.818991569751857e-18,8.295155976739933e-21
582.0,5.7962724552348916e-18,8.189950878563637e-21
584.0,5.746405421948448e-18,8.045141700299835e-21
586.0,5.704026123821066e-18,7.873811566070476e-21
588.0,5.659218180181176e-18,7.647717563254878e-21
590.0,5.628994520919601e-18,7.399936011108918e-21
592.0,5.6310878288758124e-18,7.18088804677329e-21
594.0,5.626860574498482e-18,6.97669666308625e-21
596.0,5.634087586679703e-18,6.842229315543052e-21
598.0,5.667863714472013e-18,6.810927671081933e-21
600.0,5.706554164309981e-18,6.8505696027291e-21
602.0,5.7404444653204664e-18,6.924847431548615e-21
604.0,5.750944432455525e-18,6.976442697814463e-21
606.0,5.7449195150332135e-18,6.980185515711555e-21
608.0,5.717938992954563e-18,6.908914147600686e-21
610.0,5.681361319587224e-18,6.771179060789043e-21
612.0,5.642767692011165e-18,6.5867785538701455e-21
614.0,5.604550842317031e-18,6.380183534667599e-21
616.0,5.5698661021227215e-18,6.17983805738289e-21
618.0,5.549491894973217e-18,6.017467751442539e-21
620.0,5.517275113026507e-18,5.87414365344054e-21
622.0,5.504022921598216e-18,5.780697797607489e-21
624.0,5.525013484507294e-18,5.741393376122517e-21
626.0,5.541585477932824e-18,5.7014416157833735e-21
628.0,5.562168492299246e-18,5.6576001244890564e-21
630.0,5.5842763815309596e-18,5.600809009964155e-21
632.0,5.593426278681569e-18,5.517362528724481e-21
634.0,5.606629540019543e-18,5.431997038670522e-21
636.0,5.6317215100355935e-18,5.002470622939848e-21
