wavelength,flux,flux_error
336.0,-1.807412629445672e-19,4.641250986577287e-19
338.0,1.696633298190354e-19,3.288101419139091e-19
340.0,3.9803773218741737e-19,2.6680772183953824e-19
342.0,1.8729790645497164e-19,2.236828278570813e-19
344.0,-2.1397245864157616e-19,2.0924707355234445e-19
346.0,-2.22796395782628e-19,2.0203189232263485e-19
348.0,1.611580266497119e-19,2.1150992670816512e-19
350.0,3.218334661451536e-19,2.2121999802126855e-19
352.0,3.976698135172354e-20,2.43442184231981e-19
354.0,-6.733838551341734e-20,2.546614794561527e-19
356.0,2.1268483118663087e-19,2.4406000335108117e-19
358.0,2.2514549746398576e-19,2.1322768485122915e-19
360.0,-1.1836010118806096e-19,1.9796227721666864e-19
362.0,-2.7671330644967643e-19,1.8932433395271337e-19
364.0,-1.5003446460481525e-20,1.9020520349462312e-19
366.0,3.423873812381681e-19,1.9452623651932723e-19
368.0,2.8704115566193244e-19,2.0637695250344699e-19
370.0,2.041594866440537e-20,2.116030756331867e-19
372.0,-7.180613217448627e-20,2.2211759750866037e-19
374.0,6.916031153310798e-20,2.295017189896735e-19
376.0,5.059006471222527e-20,2.3955610326474905e-19
378.0,-2.420314260582793e-19,2.5106703309787486e-19
380.0,-4.299846691482011e-19,2.516223593138772e-19
382.0,-1.7877164322282055e-19,2.5455290114464553e-19
384.0,2.483475759513127e-19,2.365157614632607e-19
386.0,3.594936608967912e-19,2.1763423543682635e-19
388.0,1.4513378601778975e-19,1.9579605732747864e-19
390.0,4.979167279638954e-21,1.665094432841587e-19
392.0,4.835264959413935e-20,1.4992695686363688e-19
394.0,1.9605906507884188e-19,1.3163430345498499e-19
396.0,2.3301629240684036e-19,1.1617334933229925e-19
398.0,2.033267569109443e-19,1.0965604976193592e-19
400.0,1.9286688634729508e-19,9.960866028550502e-20
402.0,2.6211497754672127e-19,9.23813181497492e-20
404.0,3.8452770380778106e-19,8.999933040872675e-20
406.0,4.2152035032230755e-19,8.433226969274752e-20
408.0,3.5925604374638814e-19,8.036650454720584e-20
410.0,1.9149546246236865e-19,7.994475703044385e-20
412.0,7.9610187230614e-20,7.617133114614128e-20
414.0,7.692576890314184e-20,7.335176164110661e-20
416.0,1.7257706757250009e-19,7.382798032214992e-20
418.0,2.642084668586709e-19,7.200845065208705e-20
420.0,2.781544776302863e-19,6.95272160959808e-20
422.0,2.2057193826442633e-19,6.924235626517635e-20
424.0,1.1306587025064412e-19,6.867538602341124e-20
426.0,7.990968724082129e-20,6.649836817107393e-20
428.0,1.215607955114312e-19,6.524718096916277e-20
430.0,2.1722490312551595e-19,6.486117836830449e-20
432.0,3.346366208720426e-19,6.312054154373601e-20
434.0,3.723963203338034e-19,6.160526334955062e-20
436.0,3.559186879614325e-19,6.096091126940893e-20
438.0,3.121061220219037e-19,5.986968074894665e-20
440.0,2.5381237422546135e-19,5.788075961212673e-20
442.0,2.7880208954085897e-19,5.715752074848296e-20
444.0,3.8383086925413504e-19,5.698179858964164e-20
446.0,5.021469683301891e-19,5.538518526060582e-20
448.0,5.96646679920491e-19,5.3314828250142656e-20
450.0,6.604710389317784e-19,5.278354875497777e-20
452.0,6.841048902899941e-19,5.324651839305313e-20
454.0,6.837497931797426e-19,5.195700740226171e-20
456.0,6.754028180524135e-19,4.9504156098323176e-20
458.0,6.741703048120072e-19,4.819761497241726e-20
460.0,7.081853404135203e-19,4.874480674098249e-20
462.0,7.57274914699964e-19,4.8573104411011897e-20
464.0,7.79343193892339e-19,4.637058238476274e-20
466.0,7.484247196855814e-19,4.392762824109079e-20
468.0,6.988028250271591e-19,4.3382134636012437e-20
470.0,6.544099730202789e-19,4.4120265561323685e-20
472.0,6.2249652725750155e-19,4.368827892046655e-20
474.0,6.175975529642895e-19,4.150580721463194e-20
476.0,6.435725827826069e-19,3.9225104318601506e-20
478.0,6.919264920380971e-19,3.8625824149952624e-20
480.0,7.565381586350471e-19,3.941607604207961e-20
482.0,8.1467993685608e-19,3.9437793183879154e-20
