wavelength,flux,flux_error
336.0,4.435510837156726e-17,1.9250337399061714e-18
338.0,4.5959637287123484e-17,1.5166710205690284e-18
340.0,4.3292274062883473e-17,1.3075938171418965e-18
342.0,3.9328726965852325e-17,1.186913445904106e-18
344.0,3.659575571313993e-17,1.1645020715783164e-18
346.0,3.4119668646205816e-17,1.167559308248606e-18
348.0,3.3101554258000774e-17,1.2471397033609902e-18
350.0,3.217342983658039e-17,1.3390977703707424e-18
352.0,3.18094586862533e-17,1.4820309027788457e-18
354.0,3.161116038341043e-17,1.5787722310322645e-18
356.0,2.9644433980685124e-17,1.504813233211686e-18
358.0,2.859718342797592e-17,1.3472788751338393e-18
360.0,3.003867852719433e-17,1.2364010105567715e-18
362.0,3.195452141505804e-17,1.2108989029031236e-18
364.0,3.14455820030302e-17,1.1872164892665177e-18
366.0,2.921501353060125e-17,1.2434995966757105e-18
368.0,2.7027057213699293e-17,1.2720582562396208e-18
370.0,2.6494871121772667e-17,1.3342437707602893e-18
372.0,2.853707523627754e-17,1.3785713438520344e-18
374.0,2.9970850272636434e-17,1.4107692226455203e-18
376.0,3.036132652550235e-17,1.5132980645923341e-18
378.0,2.887868781231553e-17,1.5082530839518586e-18
380.0,2.649535651355773e-17,1.5873849068190045e-18
382.0,2.5490765505784662e-17,1.5567654365642895e-18
384.0,2.5174593770371562e-17,1.4439439764034662e-18
386.0,2.659917705159118e-17,1.402170311262223e-18
388.0,2.867657164488057e-17,1.1989894164601768e-18
390.0,2.8824177614471494e-17,1.0654557747812407e-18
392.0,2.8920587018383706e-17,9.788448437382023e-19
394.0,2.7888386313940224e-17,8.21473362245418e-19
396.0,2.6330359667363423e-17,7.667260942745659e-19
398.0,2.59142295668635e-17,7.240117385050625e-19
400.0,2.5777801357441726e-17,6.333845000643864e-19
402.0,2.5714707551895424e-17,6.20050052738362e-19
404.0,2.6290178928023682e-17,6.073827710922607e-19
406.0,2.608964068860874e-17,5.480152674507127e-19
408.0,2.4947914969403272e-17,5.3961460326753205e-19
410.0,2.4348434753525447e-17,5.462184192035193e-19
412.0,2.3955011515885673e-17,5.066297523795957e-19
414.0,2.3383091350476186e-17,4.927343332039291e-19
416.0,2.355945143667017e-17,5.074955522854832e-19
418.0,2.4392478043349224e-17,4.88812837243471e-19
420.0,2.443724595746469e-17,4.646463476258261e-19
422.0,2.3982469619266643e-17,4.724275165417347e-19
424.0,2.3523255682073283e-17,4.735453785095374e-19
426.0,2.2718236711361374e-17,4.49691637449842e-19
428.0,2.1172915023618018e-17,4.387942818143331e-19
430.0,2.0007312811992144e-17,4.431914132356516e-19
432.0,1.9591894456769845e-17,4.328435137082151e-19
434.0,1.948827279719252e-17,4.1257980351507026e-19
436.0,1.9281935257512536e-17,4.06116105941538e-19
438.0,1.9367207212352753e-17,4.076886439364443e-19
440.0,1.9804959943475808e-17,3.975275578590218e-19
442.0,1.998103678276631e-17,3.8281740211754625e-19
444.0,1.943894093807894e-17,3.752049339199747e-19
446.0,1.876335502042208e-17,3.724077765527144e-19
448.0,1.8437451235090726e-17,3.6450123054069373e-19
450.0,1.841398573518944e-17,3.53610165611364e-19
452.0,1.8185786511852948e-17,3.4558289605760523e-19
454.0,1.78325340305951e-17,3.3989507433654065e-19
456.0,1.7662221948588597e-17,3.329046208286063e-19
458.0,1.7826924006204964e-17,3.241454390658124e-19
460.0,1.7822580710674568e-17,3.167196872238234e-19
462.0,1.735278210452816e-17,3.089403153092866e-19
464.0,1.6631099438490808e-17,3.014705791684652e-19
466.0,1.6003308198381663e-17,2.926240405300456e-19
468.0,1.570856461988373e-17,2.8576538167085135e-19
470.0,1.548389734798775e-17,2.799219839002591e-19
472.0,1.515223690244645e-17,2.723005821922559e-19
