wavelength,flux,flux_error
336.0,1.5904432441788495e-18,1.2336793789042547e-18
338.0,1.448714114787728e-18,9.001523340071568e-19
340.0,2.1863297265648867e-18,7.26688824599766e-19
342.0,2.3855855857898895e-18,6.161574899494662e-19
344.0,1.5104744854664424e-18,5.744387639850808e-19
346.0,6.31379774800109e-19,5.584953194746993e-19
348.0,9.185101752667073e-19,5.817172203843825e-19
350.0,1.4771155654083102e-18,6.097682256310494e-19
352.0,1.1564097486051949e-18,6.651055764500056e-19
354.0,5.857464296674064e-19,7.049626551561525e-19
356.0,1.1103205054048637e-18,6.663282298346712e-19
358.0,1.8280786419425992e-18,5.856122770620988e-19
360.0,1.3963682332949686e-18,5.433387734060624e-19
362.0,1.834685837035406e-19,5.250674335032504e-19
364.0,-2.157909292714402e-19,5.183284962488309e-19
366.0,5.626219310667999e-19,5.322943482175666e-19
368.0,1.3128721154414447e-18,5.614606805179025e-19
370.0,8.81270637189035e-19,5.847657540968131e-19
372.0,1.4406400526974133e-19,5.988497912319506e-19
374.0,2.33603395791702e-19,6.2819417529451e-19
376.0,1.1190379561731317e-18,6.545905651288597e-19
378.0,1.489330733470644e-18,6.783820038798097e-19
380.0,8.778533557970689e-19,6.972170015579675e-19
382.0,-9.056133747707153e-21,6.842700274594353e-19
384.0,-1.129635574025895e-19,6.522446294870424e-19
386.0,3.9896321319221483e-19,5.989576677574031e-19
388.0,8.134932029268011e-19,5.335015193930466e-19
390.0,9.222849790038518e-19,4.669168041112772e-19
392.0,9.720341924998369e-19,4.052859110037426e-19
394.0,1.120219174639729e-18,3.644051804194305e-19
396.0,1.26659218367689e-18,3.3066467651806806e-19
398.0,1.2350266294786858e-18,2.9785444183371053e-19
400.0,9.954391032247264e-19,2.7956777985927185e-19
402.0,9.087168378745344e-19,2.6425291629270554e-19
404.0,9.476541614795643e-19,2.4679567299311305e-19
406.0,1.148316492050445e-18,2.4024561344352377e-19
408.0,1.3996104338020172e-18,2.3296946292499745e-19
410.0,1.4942693739918646e-18,2.2243392209298315e-19
412.0,1.3094724536216542e-18,2.1996463745102353e-19
414.0,1.1420426171895523e-18,2.1732015806290956e-19
416.0,1.0890954670852965e-18,2.0759070540995857e-19
418.0,1.084234801884387e-18,2.0605327935741887e-19
420.0,1.2061746716502677e-18,2.0922241985320612e-19
422.0,1.3895043753192928e-18,2.013919764748869e-19
424.0,1.4828413604048213e-18,1.9525557474714347e-19
426.0,1.4085862776602645e-18,1.9897923016275034e-19
428.0,1.3454129507503138e-18,1.9669637718744686e-19
430.0,1.3007670104273098e-18,1.8622374850737635e-19
432.0,1.226705590026564e-18,1.8431557734764148e-19
434.0,1.1685902378969963e-18,1.8910258203080366e-19
436.0,1.1921005590280442e-18,1.841947229339962e-19
438.0,1.344660993615194e-18,1.7487815585025728e-19
440.0,1.5653997485172228e-18,1.7458969355655822e-19
442.0,1.8189330233206347e-18,1.7892150851102692e-19
444.0,2.2077247639460162e-18,1.7421638194238417e-19
446.0,2.6265690686748374e-18,1.6521841098530234e-19
448.0,2.9075394852300996e-18,1.643995224269771e-19
450.0,3.0132198816275298e-18,1.6818122525463064e-19
452.0,3.022563967014698e-18,1.6569847704272952e-19
454.0,2.9365522537652266e-18,1.567428197328017e-19
456.0,2.804835827392969e-18,1.5317240937278122e-19
458.0,2.627760088132206e-18,1.5522211598826214e-19
460.0,2.46529257549304e-18,1.5528736464068994e-19
462.0,2.4063633994156843e-18,1.4868629818550454e-19
464.0,2.429703629406909e-18,1.417846487216298e-19
466.0,2.4650385352823637e-18,1.4104669771886855e-19
468.0,2.506496368643526e-18,1.4284450881434617e-19
470.0,2.571288529777029e-18,1.4158589470833304e-19
472.0,2.6621062074081405e-18,1.36040832154148e-19
474.0,2.768644997078742e-18,1.31244142912145e-19
476.0,2.9000500753611894e-18,1.3056487135162047e-19
478.0,3.036398819775661e-18,1.3092113658101976e-19
480.0,3.1775966528385784e-18,1.3000492502739782e-19
482.0,3.3276853962239306e-18,1.2670066933117085e-19
484.0,3.4821305779228096e-18,1.2338923188069268e-19
486.0,3.5772989990436355e-18,1.216906782093031e-19
488.0,3.6157895449311546e-18,1.208916960814653e-19
490.0,3.6235464133150245e-18,1.1996939136055907e-19
492.0,3.611965737179425e-18,1.1881768360421232e-19
494.0,3.559115645752453e-18,1.1728852232689218e-19
496.0,3.4533938724113385e-18,1.1563366782086197e-19
498.0,3.3210939550618793e-18,1.1378987550050555e-19
500.0,3.1922107289817938e-18,1.1161783721250438e-19
502.0,3.0639164204939457e-18,1.096390020609413e-19
504.0,2.9446282098189027e-18,1.0915082514811668e-19
506.0,2.8296786049941707e-18,1.094157744248077e-19
508.0,2.7421113934131794e-18,1.0934332988753111e-19
510.0,2.7042162899053235e-18,1.0800365116505778e-19
512.0,2.7277565013358615e-18,1.0541544658397731e-19
514.0,2.8225658426036745e-18,1.0305484346030784e-19
516.0,2.983822894874492e-18,1.0228699565921474e-19
518.0,3.1928342644197606e-18,1.0307837658353886e-19
520.0,3.420485185187941e-18,1.0390250117557097e-19
522.0,3.657941969142383e-18,1.036589384945232e-19
524.0,3.887837182880591e-18,1.01842089432302e-19
526.0,4.090165526903379e-18,9.920993106251112e-20
528.0,4.248470668183325e-18,9.74135616279033e-20
530.0,4.334265916337691e-18,9.735132420855395e-20
532.0,4.320578303491121e-18,9.832686503445576e-20
534.0,4.225824656169538e-18,9.910771525493108e-20
536.0,4.084651275048665e-18,9.858870035652789e-20
538.0,3.9187559207281436e-18,9.62648322073469e-20
540.0,3.751617935136854e-18,9.288479356733837e-20
542.0,3.6081700336272335e-18,9.005214769093142e-20
544.0,3.4960412492078334e-18,8.888051852152211e-20
546.0,3.406959801560906e-18,8.91287787328835e-20
548.0,3.3571972518305e-18,9.009268577097775e-20
550.0,3.352469344431715e-18,9.05190643665457e-20
552.0,3.3952890594409892e-18,8.96649669337306e-20
554.0,3.4694164319842812e-18,8.723853923730176e-20
556.0,3.583760515135986e-18,8.440738836203707e-20
558.0,3.720552632185929e-18,8.203824600485629e-20
560.0,3.861957121579706e-18,8.087700293112028e-20
562.0,3.993914755615764e-18,8.109522787866907e-20
564.0,4.106092754220787e-18,8.211176121150251e-20
566.0,4.197351501018335e-18,8.304842406571641e-20
568.0,4.267088093839577e-18,8.310120282088994e-20
570.0,4.33119385090825e-18,8.22079878793473e-20
572.0,4.392226202386639e-18,8.053666869989841e-20
574.0,4.4335166549536334e-18,7.8297780040188e-20
576.0,4.461503584859324e-18,7.628101897484681e-20
578.0,4.461671041503407e-18,7.472975927722783e-20
580.0,4.442328102878231e-18,7.384709398716631e-20
582.0,4.394368439205287e-18,7.309313841497124e-20
584.0,4.3220844397107184e-18,7.194444512929553e-20
586.0,4.259453069573863e-18,7.047806473468498e-20
588.0,4.2036682135410914e-18,6.844466033912796e-20
590.0,4.168992218426097e-18,6.617301327862467e-20
592.0,4.167999448280913e-18,6.415860145234681e-20
594.0,4.1704020763842385e-18,6.231870771436807e-20
596.0,4.187186239678115e-18,6.116802296710642e-20
598.0,4.227630575300713e-18,6.10046383734254e-20
600.0,4.274473245316173e-18,6.15166444922857e-20
602.0,4.320171006946462e-18,6.234423682386695e-20
604.0,4.351032747573529e-18,6.294275261475706e-20
606.0,4.372448165846158e-18,6.307051978761184e-20
608.0,4.380706826806577e-18,6.248219148252417e-20
610.0,4.383381288252383e-18,6.126410731940586e-20
612.0,4.38466055599143e-18,5.960726512988165e-20
614.0,4.384400098726133e-18,5.774297563953369e-20
616.0,4.383068470286488e-18,5.593408986129809e-20
618.0,4.38776348091643e-18,5.446843858648487e-20
620.0,4.3774648319665306e-18,5.3172275582470805e-20
622.0,4.377397192389462e-18,5.232228252213649e-20
624.0,4.4014880528127436e-18,5.195760379647909e-20
626.0,4.4209373003460105e-18,5.1587016025088545e-20
628.0,4.4441102058429355e-18,5.1188762822855924e-20
630.0,4.470032105571817e-18,5.0688911986557385e-20
632.0,4.4872324359696115e-18,4.9969403006318854e-20
634.0,4.508536802491988e-18,4.92561733216686e-20
636.0,4.529469366756813e-18,4.551922990702318e-20
638.0,4.647748727285223e-18,5.64647433920041e-20
640.0,4.6371330925586e-18,8.135929419629235e-20
642.0,4.605813626431747e-18,1.1766927131853224e-19
644.0,4.581969370574397e-18,1.404476241922453e-19
646.0,4.5758495209624914e-18,1.385872947732235e-19
648.0,4.579026376262792e-18,1.3505956785836662e-19
650.0,4.581996622823942e-18,1.3554186897575945e-19
652.0,4.53877094885987e-18,1.3426042640291775e-19
654.0,4.478086840733253e-18,1.3074281076833729e-19
656.0,4.4591026072582e-18,1.3077363838965814e-19
658.0,4.471838138342121e-18,1.3116427148330267e-19
660.0,4.516285915443364e-18,1.2715855842351714e-19
662.0,4.609028900189211e-18,1.2415298905280539e-19
664.0,4.724435611108818e-18,1.2509211384674655e-19
666.0,4.76378094046249e-18,1.234560395534392e-19
668.0,4.718371215650543e-18,1.1936789897399398e-19
670.0,4.667221978458404e-18,1.1858334873419584e-19
672.0,4.61272671124011e-18,1.186226853990919e-19
674.0,4.540709256883889e-18,1.152389312955679e-19
676.0,4.524008845232664e-18,1.1329950270984964e-19
678.0,4.586444335219776e-18,1.1451449199799017e-19
680.0,4.662038961006707e-18,1.1308550991456082e-19
682.0,4.677509583769357e-18,1.093338763105262e-19
684.0,4.6784230111628864e-18,1.0929583210398697e-19
686.0,4.7087904846285645e-18,1.1095193959550116e-19
688.0,4.6492852415919964e-18,1.0778893430122902e-19
690.0,4.5083252482143545e-18,1.0436519727131531e-19
692.0,4.431174587044222e-18,1.0557337951856339e-19
694.0,4.45274767178532e-18,1.0660938102187854e-19
