wavelength,flux,flux_error
336.0,2.218690309095775e-18,2.538439585133396e-18
338.0,2.442829665492165e-19,1.8067954310546718e-18
340.0,-1.0998133852114802e-18,1.4565822028593827e-18
342.0,-7.333755507782317e-20,1.252743165482732e-18
344.0,2.42582734987513e-18,1.1941540281095996e-18
346.0,3.5284681833085896e-18,1.1734055778519117e-18
348.0,1.7694256991059648e-18,1.2390100124415699e-18
350.0,-5.533985853700926e-19,1.3100159507799863e-18
352.0,5.327462590116061e-21,1.4702236475690348e-18
354.0,2.5719970788062262e-18,1.5482335235532793e-18
356.0,2.3607240862446828e-18,1.4854118197064194e-18
358.0,-4.574374901879523e-19,1.3123358095780537e-18
360.0,-1.6761864512971918e-18,1.2272663897289002e-18
362.0,-1.5126768551485166e-19,1.178883360093337e-18
364.0,1.7552345266652383e-18,1.1938213194717588e-18
366.0,1.8309067828385082e-18,1.2352486705414794e-18
368.0,8.953452382602616e-19,1.3033125282484242e-18
370.0,1.1601218161759905e-18,1.3558791784033861e-18
372.0,2.4983553471711306e-18,1.432126924739705e-18
374.0,2.5656297263328776e-18,1.4926853765102316e-18
376.0,6.126735052639055e-19,1.5226704466430576e-18
378.0,-9.843366166360601e-19,1.6515051172847139e-18
380.0,4.881872523198119e-21,1.6572329581674625e-18
382.0,2.280309841985756e-18,1.6432651665952685e-18
384.0,2.8538774214220838e-18,1.6114736939282227e-18
386.0,1.4860445620744956e-18,1.4069675579858069e-18
388.0,5.3669555206624405e-19,1.3126515954658409e-18
390.0,1.1978710640359056e-18,1.1712448681277691e-18
392.0,2.256038295118104e-18,9.547324431278358e-19
394.0,2.163419970117745e-18,9.135730214648064e-19
396.0,8.895544121872031e-19,8.349722279413619e-19
398.0,-2.806159851773675e-19,6.987118563595385e-19
400.0,-1.8460693512848264e-19,7.123751154183767e-19
402.0,1.1299436878827508e-18,6.862996573972089e-19
404.0,2.550747170130788e-18,5.797706276368571e-19
406.0,2.9660811419931872e-18,6.08354696026742e-19
408.0,2.2029314289239318e-18,6.235492138715439e-19
410.0,1.0702540152921631e-18,5.273176784546962e-19
412.0,6.114411366353683e-19,5.370605089274086e-19
414.0,1.2411806022593322e-18,6.023243479591774e-19
416.0,2.4675728292022293e-18,5.362908922217935e-19
418.0,3.3496568657880495e-18,4.813638861260991e-19
420.0,3.2334332975858605e-18,5.586755827142542e-19
422.0,2.206840944088208e-18,5.6209499985799465e-19
424.0,9.874764813777152e-19,4.686833340078918e-19
426.0,3.7637786341357107e-19,4.80130619579578e-19
428.0,7.175174352720307e-19,5.496942565066433e-19
430.0,1.737327195519206e-18,5.0913141003713235e-19
432.0,2.7891581138508085e-18,4.271188382408328e-19
434.0,3.2905922837422163e-18,4.637739801473472e-19
436.0,3.0714444157586463e-18,5.155138211226569e-19
438.0,2.4041694187906877e-18,4.669872275822557e-19
440.0,1.77153273141798e-18,3.9614696565701274e-19
442.0,1.589621451606661e-18,4.2918717380874746e-19
444.0,1.97814383543067e-18,4.773112946447964e-19
446.0,2.741036238227068e-18,4.426864077275494e-19
448.0,3.509011570708535e-18,3.742439181983385e-19
450.0,3.943931872517229e-18,3.8146604755235403e-19
452.0,3.901034629066257e-18,4.2955487488582287e-19
454.0,3.4650142486409668e-18,4.2305144888818526e-19
456.0,2.876949755018644e-18,3.6372518327461117e-19
458.0,2.415705434434492e-18,3.3313007672980417e-19
460.0,2.2590538736531735e-18,3.638035087691804e-19
462.0,2.4421569381749696e-18,3.861344970567212e-19
464.0,2.8593461679235576e-18,3.5915543983635185e-19
466.0,3.328411361446361e-18,3.1164170881024445e-19
468.0,3.691763991182849e-18,3.0188294463115165e-19
470.0,3.836945758530899e-18,3.2722008357816507e-19
472.0,3.759203248762674e-18,3.380344453182936e-19
474.0,3.5223909486055745e-18,3.147697845696417e-19
476.0,3.2228227803979033e-18,2.791659620627526e-19
478.0,2.954567863190995e-18,2.6635489264442203e-19
480.0,2.784160878839628e-18,2.7893915079867216e-19
482.0,2.720240116060955e-18,2.872996038746372e-19
484.0,2.75422742730204e-18,2.762066385074298e-19
486.0,2.8398153814789494e-18,2.530462982695852e-19
488.0,2.946050455098156e-18,2.384660940411213e-19
490.0,3.0454771291200467e-18,2.4073010331330003e-19
492.0,3.126503626346323e-18,2.480697004648441e-19
494.0,3.1815417010414926e-18,2.4633379751612675e-19
496.0,3.2153489319891568e-18,2.33891233074271e-19
498.0,3.23548287919075e-18,2.197503362602712e-19
500.0,3.2379180393191417e-18,2.1344063370090555e-19
502.0,3.2032763780971013e-18,2.151371344524391e-19
504.0,3.1395084183485613e-18,2.187222318733366e-19
506.0,3.034830450238924e-18,2.171208534633686e-19
508.0,2.898686696212491e-18,2.0982276291674062e-19
510.0,2.748625162114397e-18,2.0095339472331037e-19
512.0,2.6046771814029622e-18,1.9504394273727848e-19
