wavelength,flux,flux_error
336.0,-6.500236932825951e-19,1.0033341906298958e-18
338.0,7.8437278346253595e-19,7.169921182498457e-19
340.0,6.073726087421974e-19,5.762241344516611e-19
342.0,-3.1271737708334763e-19,4.89463569949978e-19
344.0,-3.9922815258407405e-19,4.577099386228341e-19
346.0,4.684817872724296e-19,4.46566616283688e-19
348.0,9.571758134778206e-19,4.668537710733455e-19
350.0,2.9145393208679564e-19,4.902603820360001e-19
352.0,-3.950635416580452e-19,5.389312760202222e-19
354.0,1.6072137400415507e-19,5.64694167139348e-19
356.0,9.913905983448206e-19,5.394950071010686e-19
358.0,6.586468272813022e-19,4.74837091693712e-19
360.0,-1.727699821138377e-19,4.350633210713677e-19
362.0,-4.2149197567837996e-19,4.212562370397057e-19
364.0,-3.62706918169791e-21,4.1810479937438103e-19
366.0,2.84682728627572e-19,4.338567020729411e-19
368.0,1.4737773791485784e-19,4.501875626912872e-19
370.0,2.72083384202223e-20,4.699342179062901e-19
372.0,2.5464709329204554e-19,4.918039130014724e-19
374.0,5.810848272719232e-19,5.02662218137619e-19
376.0,3.823960980650543e-19,5.328215530609234e-19
378.0,1.2836349429545547e-20,5.4451185925030175e-19
380.0,-2.3176077654924193e-19,5.621248778843161e-19
382.0,3.988649021159168e-21,5.605826676532983e-19
384.0,3.2086682699414325e-19,5.167811317706452e-19
386.0,3.1232027933593324e-19,4.862562880514871e-19
388.0,9.294652960776735e-20,4.2455852097590423e-19
390.0,-9.518999538734417e-20,3.7020070899344834e-19
392.0,-8.73291795314496e-20,3.32880111878786e-19
394.0,3.6124657833492355e-20,2.8413405231643056e-19
396.0,1.5928716731461106e-19,2.6143564713221795e-19
398.0,2.883429100978262e-19,2.4290773135475635e-19
400.0,3.377157852903622e-19,2.157833948289554e-19
402.0,3.246879083581584e-19,2.0972100720648399e-19
404.0,2.7591744027841984e-19,1.997741671498986e-19
406.0,1.9416938311656715e-19,1.8267580101965983e-19
408.0,2.0153349646282352e-19,1.8326404141122052e-19
410.0,2.629487554163546e-19,1.798714639469968e-19
412.0,3.4723206737983835e-19,1.6583304269288818e-19
414.0,3.7663313721360925e-19,1.6685126551915112e-19
416.0,3.741495680215392e-19,1.696672857134423e-19
418.0,2.874716278721018e-19,1.5786259057164764e-19
420.0,3.045961167267942e-19,1.5454813796353805e-19
422.0,4.414638233925704e-19,1.6169190273328433e-19
424.0,5.884218752913354e-19,1.5561464560131078e-19
426.0,7.448387444457202e-19,1.4560992026354525e-19
428.0,7.244610950550978e-19,1.4789914582154428e-19
430.0,5.994657749151839e-19,1.5108092943706063e-19
432.0,3.904237193198683e-19,1.4132689295695742e-19
434.0,1.8459551216432014e-19,1.3560874969962666e-19
436.0,2.0654286863399814e-19,1.389895013797912e-19
438.0,3.8557015970160574e-19,1.397456578621352e-19
440.0,7.039648477641065e-19,1.306817778420081e-19
442.0,1.1003820967437433e-18,1.2722820299459698e-19
444.0,1.3630963579417384e-18,1.2984303234872934e-19
446.0,1.4704733339804123e-18,1.2993935663711294e-19
448.0,1.4352840639466258e-18,1.2254128239539873e-19
450.0,1.2902171439420951e-18,1.1863605644178887e-19
452.0,1.1631480446273315e-18,1.1994679060744737e-19
454.0,1.1228977003010049e-18,1.1990616162250182e-19
456.0,1.0949572745648804e-18,1.145257730577987e-19
458.0,1.116153788076534e-18,1.0915372676131118e-19
460.0,1.1276080267615132e-18,1.0915825682652572e-19
462.0,1.037938286206195e-18,1.092298084621312e-19
464.0,8.97896239525239e-19,1.0636303995734858e-19
466.0,7.624548519924158e-19,1.0067483631130363e-19
